PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2022-04-26,18:02:16.01,1,1,"Brown, Garrett",1000056488,Right,GEO_BUL,"Abboud, DeAngelo",8899656,Right,GEO_PAN,Undefined,1,Top,0,0,0,Other,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,91.22948,-3.707027,-3.254684,2222.29456,210.983796,1:00,7.13613,1.73119,4.75706,-14.70272,20.6817,11.68796,2.38491,-0.38458,83.00639,-6.469326,-1.205007,0.428132,,,,,,,,,,,,-6.64945,11.55367,-1.41505,50,6.751,6.91392,-131.77804,-9.05071,-11.66085,28.71357,-11.91291,GEO_BUL,GEO_PAN,UGeorgia,D1,SEC,20220426-UGeorgia-1,8915b230-c5ac-11ec-9372-89a9be210a60,88.03935,,,8.22309,,,,,,,fb14c1e4-5395-433c-966b-3287a6350ee1,2022-04-26,22:02:16.01,2022-04-26T18:02:16.0150000-04:00,2022-04-26T22:02:16.0150000Z,,v3,,,,"Collins, Corey",690970,Right,GEO_BUL,ea5859a0-4620-40d0-b96e-2fc6a9b07c4b,55.74106,-133.02309,14.35679,7.13225,-8.53415,-5.95645,-1.7258,7.41955,-5.83043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.10447,1.994406,0.771994,1.222412,-0.82693,2.12769,0.43011,-1.33204,6.6635,0.98164,127.28314,3.3778,4.32411,-1.11011,117.74003,-10.37184,6.67622,10.79355,-11.03413,0.91689,0.09569,2.19537,High,High,High,,,High,High,High
2,2022-04-26,18:02:50.89,1,2,"Brown, Garrett",1000056488,Right,GEO_BUL,"Abboud, DeAngelo",8899656,Right,GEO_PAN,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.80324,-4.380842,-3.096739,2269.883331,198.609834,12:30,7.12801,1.47302,4.84948,-10.0578,24.13781,7.72146,2.12837,-0.81804,84.21019,-6.331994,-1.740945,0.420878,,,,,,,,,,,,-4.68138,13.47662,-1.17381,50,6.68636,6.85665,-133.93377,-10.54414,-8.46293,30.21389,-7.81128,GEO_BUL,GEO_PAN,UGeorgia,D1,SEC,20220426-UGeorgia-1,9dce42f0-c5ac-11ec-9372-89a9be210a60,89.55661,,,8.59305,,,,,,,fb14c1e4-5395-433c-966b-3287a6350ee1,2022-04-26,22:02:50.89,2022-04-26T18:02:50.8947518-04:00,2022-04-26T22:02:50.8947518Z,,v3,,,,"Collins, Corey",690970,Right,GEO_BUL,b175d7b6-9d5d-4718-9795-357a0ffdf241,55.64768,-135.20182,15.10695,7.12201,-10.21631,-3.90564,-1.46903,7.21183,-4.23146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2022-04-26,18:03:06.23,1,3,"Brown, Garrett",1000056488,Right,GEO_BUL,"Abboud, DeAngelo",8899656,Right,GEO_PAN,Undefined,1,Top,0,0,1,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,78.69391,-0.442663,-2.415421,2642.435702,40.648802,7:15,7.00063,1.64527,4.76627,-53.61696,-6.50552,-6.82323,2.11246,-1.21486,72.73611,-10.020308,-3.61635,0.494009,,,,,,,,,,,,2.67835,-2.62681,-1.39681,50,6.90892,5.1011,-114.10616,-2.90085,3.52941,21.09696,-35.63552,GEO_BUL,GEO_PAN,UGeorgia,D1,SEC,20220426-UGeorgia-1,a6ffee00-c5ac-11ec-9372-89a9be210a60,76.29913,,,5.9578,,,,,,,fb14c1e4-5395-433c-966b-3287a6350ee1,2022-04-26,22:03:06.23,2022-04-26T18:03:06.2399038-04:00,2022-04-26T22:03:06.2399038Z,,v3,,,,"Collins, Corey",690970,Right,GEO_BUL,7690ce1b-e48a-4c50-b52f-a60567325873,55.7356,-115.16173,10.54848,7.00946,-1.11787,-17.81776,-1.64762,4.92451,1.7647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2022-04-26,18:03:24.21,1,4,"Brown, Garrett",1000056488,Right,GEO_BUL,"Abboud, DeAngelo",8899656,Right,GEO_PAN,Undefined,1,Top,0,0,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.63006,-3.764014,-4.61693,2305.687478,201.710659,12:45,7.20657,1.39441,4.98445,-13.43245,19.98383,7.50083,2.51598,-2.34992,85.17207,-6.301962,-3.3004,0.416055,,,,,,,,,,,,-5.01626,11.28497,-0.95477,50,6.83181,10.53309,-135.05734,-9.35483,-9.24098,30.1333,-11.38483,GEO_BUL,GEO_PAN,UGeorgia,D1,SEC,20220426-UGeorgia-1,b1c2e770-c5ac-11ec-9372-89a9be210a60,90.59492,,,8.45799,,,,,,,fb14c1e4-5395-433c-966b-3287a6350ee1,2022-04-26,22:03:24.21,2022-04-26T18:03:24.2177598-04:00,2022-04-26T22:03:24.2177598Z,,v3,,,,"Collins, Corey",690970,Right,GEO_BUL,c37a1fb2-b378-41c2-bdcb-8f6a344609c8,55.51334,-136.28189,15.06665,7.20257,-8.89218,-5.69241,-1.39044,10.90862,-4.62049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2022-04-26,18:03:42.75,1,5,"Brown, Garrett",1000056488,Right,GEO_BUL,"Abboud, DeAngelo",8899656,Right,GEO_PAN,Undefined,1,Top,0,1,2,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,78.28487,1.977087,-0.305362,2654.473664,48.724821,7:30,7.04724,1.67327,4.74853,-55.69302,-8.14426,-10.93749,4.28211,0.47219,71.96487,-8.022052,-2.229387,0.496296,,,,,,,,,,,,5.26122,-4.0567,-1.63245,50,7.19658,1.07217,-113.57057,1.81152,6.87592,20.67693,-37.47575,GEO_BUL,GEO_PAN,UGeorgia,D1,SEC,20220426-UGeorgia-1,bccb9c70-c5ac-11ec-9372-89a9be210a60,75.94745,,,6.32,,,,,,,fb14c1e4-5395-433c-966b-3287a6350ee1,2022-04-26,22:03:42.75,2022-04-26T18:03:42.7555902-04:00,2022-04-26T22:03:42.7555902Z,,v3,,,,"Collins, Corey",690970,Right,GEO_BUL,115f0261-4a11-4ecc-a4cf-7e260ef9a74e,55.75383,-114.61334,10.33846,7.05757,3.70148,-18.73788,-1.67778,0.7254,3.43796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2022-04-26,18:04:02.86,1,6,"Brown, Garrett",1000056488,Right,GEO_BUL,"Abboud, DeAngelo",8899656,Right,GEO_PAN,Undefined,1,Top,0,2,2,ChangeUp,Changeup,FoulBall,Undefined,Undefined,Undefined,0,0,,87.47908,-2.025735,-2.007872,1844.568631,247.771307,2:15,6.99762,1.43258,5.24561,-28.53781,9.17063,19.29879,2.71376,1.15308,79.67907,-7.268093,1.417494,0.441968,,,,,,,,,,,,-10.36693,5.54764,-1.26347,50,6.79038,3.60221,-126.79276,-5.52783,-16.74333,27.83293,-23.21422,GEO_BUL,GEO_PAN,UGeorgia,D1,SEC,20220426-UGeorgia-1,c8c31e40-c5ac-11ec-9372-89a9be210a60,85.2832,,,7.80001,,,,,,,fb14c1e4-5395-433c-966b-3287a6350ee1,2022-04-26,22:04:02.86,2022-04-26T18:04:02.8642878-04:00,2022-04-26T22:04:02.8642878Z,,v3,,,,"Collins, Corey",690970,Right,GEO_BUL,3d835a95-2618-45bb-8ab0-c543f552a768,55.25574,-127.94127,13.91647,6.99872,-4.56991,-11.60711,-1.42637,4.29311,-8.37166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2022-04-26,18:04:28.23,1,7,"Brown, Garrett",1000056488,Right,GEO_BUL,"Abboud, DeAngelo",8899656,Right,GEO_PAN,Undefined,1,Top,0,2,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.20728,-4.387595,-4.412423,2332.215873,206.179144,12:45,7.02284,1.39636,4.97547,-15.03233,18.92462,8.81091,1.60562,-2.04516,85.27574,-7.17129,-2.864839,0.419407,,,,,,,,,,,,-5.41622,10.73201,-0.97704,50,6.58528,9.8546,-133.1962,-10.78083,-9.8651,24.8916,-12.62678,GEO_BUL,GEO_PAN,UGeorgia,D1,SEC,20220426-UGeorgia-1,d7de0020-c5ac-11ec-9372-89a9be210a60,89.87075,,,6.93154,,,,,,,fb14c1e4-5395-433c-966b-3287a6350ee1,2022-04-26,22:04:28.23,2022-04-26T18:04:28.2386494-04:00,2022-04-26T22:04:28.2386494Z,,v3,,,,"Collins, Corey",690970,Right,GEO_BUL,437f93ef-fcd2-4d5b-b413-0c25d7e5f7b3,55.525,-134.22474,12.4458,7.01997,-10.25908,-6.31339,-1.39266,10.26223,-4.93255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2022-04-26,18:04:45.45,1,8,"Brown, Garrett",1000056488,Right,GEO_BUL,"Abboud, DeAngelo",8899656,Right,GEO_PAN,Undefined,1,Top,0,3,2,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,93.55081,-3.825308,-2.51511,2387.613159,210.221848,1:00,7.08313,1.50935,5.20565,-13.12725,19.69064,10.86091,2.38275,0.0475,85.743,-6.304609,-0.592684,0.412313,69.48748,66.987133,122.474568,5277.994695,,,,,,,,-6.13552,11.2002,-1.28516,50,6.719,5.43789,-135.43496,-9.49542,-11.43675,28.58911,-11.29667,GEO_BUL,GEO_PAN,UGeorgia,D1,SEC,20220426-UGeorgia-1,e2295890-c5ac-11ec-9372-89a9be210a60,91.4171,71.73121,,7.80782,,,,1.12397,2.3669,-0.09159,fb14c1e4-5395-433c-966b-3287a6350ee1,2022-04-26,22:04:45.45,2022-04-26T18:04:45.4587454-04:00,2022-04-26T22:04:45.4587454Z,,v3,,,,"Collins, Corey",690970,Right,GEO_BUL,81e00252-a53c-4de6-b73b-a0bb53acb4e0,55.29527,-136.54817,14.29455,7.08017,-9.05555,-5.64833,-1.50558,5.88322,-5.71837,341.680367,1.12397,-21.39236,-8.08276,3.80992,-1.15669,0.30661,-0.07823,0.01783,-0.00243,2.3669,93.80413,-31.44814,4.38054,-0.84915,0.15292,-0.04345,0.01663,-0.00362,-0.09159,33.6122,-4.12054,0.40272,0.03385,-0.02742,0.00232,0.003,-0.0011,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
9,2022-04-26,18:05:09.18,1,9,"Brown, Garrett",1000056488,Right,GEO_BUL,"Abboud, DeAngelo",8899656,Right,GEO_PAN,Undefined,1,Top,0,3,2,ChangeUp,Changeup,BallCalled,Walk,Undefined,Undefined,0,0,,85.84622,-0.916892,-2.364747,1873.109389,240.898549,2:00,6.9754,1.32346,5.32994,-28.32982,10.5717,16.67635,3.75345,0.49304,78.25376,-6.146906,0.596779,0.448905,,,,,,,,,,,,-8.995,5.95386,-1.12191,50,6.87238,4.40183,-124.46301,-2.99368,-14.05848,25.82915,-22.8686,GEO_BUL,GEO_PAN,UGeorgia,D1,SEC,20220426-UGeorgia-1,f04b0d60-c5ac-11ec-9372-89a9be210a60,83.96526,,,7.59246,,,,,,,fb14c1e4-5395-433c-966b-3287a6350ee1,2022-04-26,22:05:09.18,2022-04-26T18:05:09.1809342-04:00,2022-04-26T22:05:09.1809342Z,,v3,,,,"Collins, Corey",690970,Right,GEO_BUL,df7c7c7f-b84f-4816-a7de-f109f30c13d7,55.16868,-125.53106,12.91457,6.97661,-2.04806,-11.4343,-1.31595,4.98316,-7.02924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2022-04-26,18:05:54.95,2,1,"Brown, Garrett",1000056488,Right,GEO_BUL,"Cheney, Griffin",1000024592,Right,GEO_PAN,Undefined,1,Top,0,0,0,ChangeUp,Changeup,FoulBall,Undefined,Undefined,Undefined,0,0,,84.61605,-2.711244,-2.638303,1596.308257,238.041941,2:00,6.99109,1.62398,5.24984,-30.29458,9.51721,13.34501,1.91416,0.25508,78.25,-8.229084,-0.270492,0.454127,,,,,,,,,,,,-7.42134,5.80689,-1.39223,50,6.71934,5.09528,-122.69717,-6.8966,-11.39714,22.59274,-23.25627,GEO_BUL,GEO_PAN,UGeorgia,D1,SEC,20220426-UGeorgia-1,0b9522e0-c5ad-11ec-9372-89a9be210a60,82.99978,,,6.36605,,,,,,,fb14c1e4-5395-433c-966b-3287a6350ee1,2022-04-26,22:05:54.95,2022-04-26T18:05:54.9538366-04:00,2022-04-26T22:05:54.9538366Z,,v3,,,,"Collins, Corey",690970,Right,GEO_BUL,fd76f398-85bc-4973-8b3d-6618f730167e,55.25211,-123.66049,11.29637,6.99225,-5.905,-11.62814,-1.61984,5.58123,-5.69857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
