PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2022-05-08,14:01:37.69,1,1,"Sullivan, Liam",1000096938,Left,GEO_BUL,"Bradfield Jr., Enrique A.",690961,Left,VAN_COM,Undefined,1,Top,0,0,0,Other,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,89.19291,-4.000522,2.037943,2406.809392,149.118953,11:00,7.11081,-1.52256,5.11791,-16.63836,19.63777,-11.04024,1.94723,-0.52201,81.7518,-7.105358,0.08538,0.433493,,,,,,,,,,,,6.02681,11.19796,1.33968,50,6.72122,-4.07953,-129.06889,-9.58265,10.19365,26.19044,-13.23395,GEO_BUL,VAN_COM,UGeorgia,D1,SEC,20220508-UGeorgia-1,e81d0530-cef8-11ec-af96-bb6f7c5fea6f,86.95056,,,7.44111,,,,,,,e2e4b54a-23a3-43b9-8c1d-8802955343e4,2022-05-08,18:01:37.69,2022-05-08T14:01:37.6920000-04:00,2022-05-08T18:01:37.6920000Z,,v3,,,,"Gonzalez, Fernando",1000064202,Right,GEO_BUL,fff9efb0-ca69-4e36-a57d-c25c3bf826f5,55.38085,-130.15618,13.09522,7.10764,-9.03324,-6.61697,1.51783,-4.50272,5.09683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.53415,2.170738,0.840806,1.329932,-0.52555,1.70286,0.52031,-0.80795,5.88204,1.40743,127.29079,7.57622,-0.53365,-0.40606,107.90029,-8.83209,5.87895,15.42708,-10.63636,1.27224,-4.50788,2.33497,High,High,High,,,High,High,High
2,2022-05-08,14:02:19.94,1,2,"Sullivan, Liam",1000096938,Left,GEO_BUL,"Bradfield Jr., Enrique A.",690961,Left,VAN_COM,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.36118,-4.661902,2.720953,2533.716429,151.56526,11:00,6.84507,-1.50447,5.32242,-11.74335,21.90533,-11.26457,1.47691,0.11218,84.54714,-6.905033,0.723569,0.417499,,,,,,,,,,,,6.38327,12.57575,1.26651,50,6.41377,-5.82039,-133.53314,-11.24059,11.55458,28.0747,-9.41019,GEO_BUL,VAN_COM,UGeorgia,D1,SEC,20220508-UGeorgia-1,014aca60-cef9-11ec-af96-bb6f7c5fea6f,90.28148,,,7.81405,,,,,,,e2e4b54a-23a3-43b9-8c1d-8802955343e4,2022-05-08,18:02:19.94,2022-05-08T14:02:19.9427128-04:00,2022-05-08T18:02:19.9427128Z,,v3,,,,"Gonzalez, Fernando",1000064202,Right,GEO_BUL,3d80f0ba-9e89-4fa2-b04f-270716f5f12f,55.17732,-134.61724,14.03735,6.84081,-10.87721,-4.7051,1.49988,-6.26657,5.77729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2022-05-08,14:02:34.50,1,3,"Sullivan, Liam",1000096938,Left,GEO_BUL,"Bradfield Jr., Enrique A.",690961,Left,VAN_COM,Undefined,1,Top,0,1,0,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,91.56918,-4.203856,2.240767,2346.499094,134.478142,10:30,6.8122,-1.48972,5.44852,-18.1371,15.42489,-14.75111,1.35487,-0.62002,85.10255,-7.54899,-0.385074,0.416961,,,,,,,,,,,,8.01804,9.07351,1.30246,50,6.42767,-4.54345,-132.75764,-10.40053,14.53517,24.22156,-15.72546,GEO_BUL,VAN_COM,UGeorgia,D1,SEC,20220508-UGeorgia-1,09fa2610-cef9-11ec-af96-bb6f7c5fea6f,90.39803,,,6.46664,,,,,,,e2e4b54a-23a3-43b9-8c1d-8802955343e4,2022-05-08,18:02:34.50,2022-05-08T14:02:34.5024056-04:00,2022-05-08T18:02:34.5024056Z,,v3,,,,"Gonzalez, Fernando",1000064202,Right,GEO_BUL,80a9e5d5-7022-451c-a3c1-5be570798e61,55.05412,-133.67658,12.11078,6.81094,-9.80392,-7.86273,1.4853,-5.0949,7.26759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2022-05-08,14:02:57.42,1,4,"Sullivan, Liam",1000096938,Left,GEO_BUL,"Bradfield Jr., Enrique A.",690961,Left,VAN_COM,Undefined,1,Top,0,1,1,Slider,Curveball,InPlay,Undefined,LineDrive,Single,0,0,,79.96673,-0.837088,0.911174,2550.157146,287.338627,3:30,6.6322,-1.67113,5.13617,-46.27191,-1.85004,9.80953,1.98778,0.00445,74.59204,-9.16165,2.65125,0.4797,96.05607,8.657777,0.706369,936.44618,,,,136.73094,,-2.141463,1.116848,-4.70362,-0.3889,1.57771,50,6.51742,-2.24231,-116.23807,-3.36069,-6.50765,19.49551,-32.7121,GEO_BUL,VAN_COM,UGeorgia,D1,SEC,20220508-UGeorgia-1,17b15940-cef9-11ec-af96-bb6f7c5fea6f,78.575,7.02806,,5.37469,,,,0.94311,1.93007,-0.02152,e2e4b54a-23a3-43b9-8c1d-8802955343e4,2022-05-08,18:02:57.42,2022-05-08T14:02:57.4264376-04:00,2022-05-08T18:02:57.4264376Z,LineDrive,v3,,,,"Gonzalez, Fernando",1000064202,Right,GEO_BUL,6e55e2b0-1d8a-47ce-88d0-0a3d542359f0,55.36708,-117.13478,9.74776,6.6374,-1.85607,-16.35605,1.67396,-1.94299,-3.25383,52.644907,0.94311,139.26609,-17.81876,2.11782,-0.44549,0.08446,-0.0154,0.00288,-0.00034,1.93007,21.2073,-23.47965,3.20694,-0.65733,0.16241,-0.03443,0.00614,-0.00068,-0.02152,1.71702,-6.34732,0.81157,-0.17171,0.03372,-0.0063,0.00115,-0.00013,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
5,2022-05-08,14:03:37.72,2,1,"Sullivan, Liam",1000096938,Left,GEO_BUL,"Diaz, Davis",1000047778,Right,VAN_COM,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.91827,-3.633386,1.454259,2473.664363,143.114145,10:45,6.90475,-1.60848,5.2187,-13.57335,22.04344,-15.65186,2.35166,-1.54514,82.08331,-6.213366,-1.319419,0.429535,,,,,,,,,,,,8.19772,12.36489,1.48636,50,6.55919,-2.57722,-130.20324,-8.67304,14.0585,27.59392,-10.96913,GEO_BUL,VAN_COM,UGeorgia,D1,SEC,20220508-UGeorgia-1,2f9d9dc0-cef9-11ec-af96-bb6f7c5fea6f,87.75171,,,7.83496,,,,,,,e2e4b54a-23a3-43b9-8c1d-8802955343e4,2022-05-08,18:03:37.72,2022-05-08T14:03:37.7245752-04:00,2022-05-08T18:03:37.7245752Z,,v3,,,,"Gonzalez, Fernando",1000064202,Right,GEO_BUL,4d9da56f-a529-42d0-b684-06ce099ae968,55.28033,-131.31753,13.79696,6.90048,-8.23008,-5.48456,1.6019,-3.14493,7.02925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2022-05-08,14:04:01.05,2,2,"Sullivan, Liam",1000096938,Left,GEO_BUL,"Diaz, Davis",1000047778,Right,VAN_COM,Undefined,1,Top,0,1,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,91.24914,-3.349978,0.676439,2440.529262,140.223424,10:45,6.83434,-1.54246,5.1491,-17.31434,17.0678,-13.3367,2.23378,-2.01698,84.02815,-6.559185,-1.685487,0.422025,,,,,,,,,,,,6.80075,9.68564,1.4898,50,6.5077,-0.93185,-132.29574,-8.35247,12.13715,26.37438,-14.88833,GEO_BUL,VAN_COM,UGeorgia,D1,SEC,20220508-UGeorgia-1,3d861a20-cef9-11ec-af96-bb6f7c5fea6f,89.31338,,,7.22099,,,,,,,e2e4b54a-23a3-43b9-8c1d-8802955343e4,2022-05-08,18:04:01.05,2022-05-08T14:04:01.0541624-04:00,2022-05-08T18:04:01.0541624Z,,v3,,,,"Gonzalez, Fernando",1000064202,Right,GEO_BUL,b2492167-8db2-4f41-8a14-e47a6a6d79a6,55.35058,-133.35816,13.18719,6.83207,-7.75273,-7.44416,1.53718,-1.42076,6.06858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2022-05-08,14:04:26.47,2,3,"Sullivan, Liam",1000096938,Left,GEO_BUL,"Diaz, Davis",1000047778,Right,VAN_COM,Undefined,1,Top,0,2,0,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,,91.44824,-3.915015,2.338737,2360.064566,147.89352,11:00,6.95246,-1.59347,5.36215,-12.34548,21.96926,-13.06048,2.24359,-0.48748,83.39295,-6.281321,0.019958,0.421611,89.38752,39.226856,15.132487,4883.225165,101.759,83.47119,41.77434,287.45377,,34.015685,5.456509,7.25886,12.51103,1.39315,50,6.59189,-4.81093,-132.35158,-9.42355,12.85002,28.77028,-10.02635,GEO_BUL,VAN_COM,UGeorgia,D1,SEC,20220508-UGeorgia-1,4cba9e80-cef9-11ec-af96-bb6f7c5fea6f,89.40099,103.18735,,8.05529,,,,1.47329,2.27649,0.46121,e2e4b54a-23a3-43b9-8c1d-8802955343e4,2022-05-08,18:04:26.47,2022-05-08T14:04:26.4705080-04:00,2022-05-08T18:04:26.4705080Z,FlyBall,v3,,,,"Gonzalez, Fernando",1000064202,Right,GEO_BUL,4bcf465a-fa47-4684-9aaf-98419860f90b,55.13818,-133.46383,14.38514,6.94871,-9.03594,-5.01318,1.58874,-5.30771,6.42501,209.665728,1.48095,97.88864,-25.39745,5.63125,-0.67558,-0.0355,0.02526,-0.00316,0.00013,2.27447,82.93348,-19.22346,1.06861,-0.02464,-0.06432,0.02579,-0.004,0.00022,0.45972,26.54183,3.60844,-1.45473,0.286,-0.02316,-0.0014,0.00037,-2E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
8,2022-05-08,14:06:33.86,3,1,"Sullivan, Liam",1000096938,Left,GEO_BUL,"Jones, Spencer",8899930,Left,VAN_COM,Undefined,1,Top,1,0,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,77.79865,0.644062,1.777658,2524.424023,272.364964,3:00,6.51749,-2.12716,4.89618,-46.98211,0.80402,14.88083,3.21184,0.7949,71.82454,-7.824487,4.398288,0.497533,,,,,,,,,,,,-6.86524,0.66496,1.93991,50,6.5411,-4.11696,-112.89024,-0.41938,-8.88608,19.97335,-31.31333,GEO_BUL,VAN_COM,UGeorgia,D1,SEC,20220508-UGeorgia-1,98ad1020-cef9-11ec-af96-bb6f7c5fea6f,75.7586,,,5.97411,,,,,,,e2e4b54a-23a3-43b9-8c1d-8802955343e4,2022-05-08,18:06:33.86,2022-05-08T14:06:33.8657336-04:00,2022-05-08T18:06:33.8657336Z,,v3,,,,"Gonzalez, Fernando",1000064202,Right,GEO_BUL,08da5674-4a78-4624-88ed-ac699115f656,55.60504,-113.87761,9.98668,6.52357,1.12856,-15.65667,2.13257,-3.67768,-4.44304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2022-05-08,14:06:56.80,3,2,"Sullivan, Liam",1000096938,Left,GEO_BUL,"Jones, Spencer",8899930,Left,VAN_COM,Undefined,1,Top,1,0,1,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,91.75925,-3.83506,2.576715,2428.624684,151.837937,11:00,6.867,-1.58165,5.22592,-11.79339,22.74647,-11.50823,2.26974,-0.11661,82.9886,-6.116966,0.539527,0.422991,86.26025,18.757864,-72.34916,5985.865917,26.58626,25.34289,-106.73874,,,,,6.51516,12.87233,1.35292,50,6.50451,-5.41919,-132.6143,-9.22158,11.49184,30.88139,-9.46905,GEO_BUL,VAN_COM,UGeorgia,D1,SEC,20220508-UGeorgia-1,a652de30-cef9-11ec-af96-bb6f7c5fea6f,89.10921,25.53936,,8.77065,,,,-0.08036,2.07863,0.30836,e2e4b54a-23a3-43b9-8c1d-8802955343e4,2022-05-08,18:06:56.80,2022-05-08T14:06:56.8039480-04:00,2022-05-08T18:06:56.8039480Z,,v3,,,,"Gonzalez, Fernando",1000064202,Right,GEO_BUL,0056f85a-19b2-4754-867e-bb1720913918,55.27172,-133.83628,15.4407,6.862,-8.84689,-4.73452,1.57635,-5.87392,5.74592,,-0.08036,36.32364,-13.50405,2.93133,-0.67188,0.14478,-0.02765,0.00381,-0.00026,2.07864,40.68322,-19.61949,2.11843,-0.47633,0.10791,-0.01986,0.00277,-0.0002,0.30836,-114.15528,18.16183,-3.54945,0.79099,-0.16941,0.03279,-0.00457,0.00031,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Medium,,,
10,2022-05-08,14:07:25.13,3,3,"Sullivan, Liam",1000096938,Left,GEO_BUL,"Jones, Spencer",8899930,Left,VAN_COM,Undefined,1,Top,1,0,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.19738,-0.513034,2.838068,2394.948466,148.976672,11:00,6.89516,-1.53079,5.12053,-12.55749,21.56667,-12.2682,5.36484,0.1224,83.3934,-2.934411,0.67145,0.420438,,,,,,,,,,,,6.87036,11.15642,1.27345,50,6.83772,-6.01139,-133.50497,-1.55791,12.32419,30.37735,-12.16134,GEO_BUL,VAN_COM,UGeorgia,D1,SEC,20220508-UGeorgia-1,b7272fe0-cef9-11ec-af96-bb6f7c5fea6f,89.65032,,,8.80398,,,,,,,e2e4b54a-23a3-43b9-8c1d-8802955343e4,2022-05-08,18:07:25.13,2022-05-08T14:07:25.1315256-04:00,2022-05-08T18:07:25.1315256Z,,v3,,,,"Gonzalez, Fernando",1000064202,Right,GEO_BUL,31293176-42e1-4146-8f26-0bc0e6794d7f,55.37584,-134.72262,15.18867,6.8904,-1.07043,-6.08067,1.52431,-6.5054,6.1621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
