PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2022-04-29,18:32:26.64,1,1,"Hilliard, Ma'Khail",1000018210,Right,LSU_TIG,"Anderson, Ben",1000025449,Left,GEO_BUL,Undefined,1,Top,0,0,0,Fastball,Cutter,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.44315,-2.083113,-0.466646,2559.226218,161.277138,11:30,6.31067,1.01288,5.12313,-27.01147,11.32591,-3.44311,2.09658,0.28638,79.62083,-7.022492,-1.076445,0.445639,,,,,,,,,,,,1.59319,6.54587,-0.96621,50,6.09398,1.17475,-125.42604,-5.55124,2.55108,24.137,-21.69244,LSU_TIG,GEO_BUL,LSU,D1,SEC,20220429-LSU-1,a14cd170-c814-11ec-bef0-eb0ab4538cbf,84.58075,,,6.82231,,,,,,,61669b1c-cac5-438c-af0b-a35c50f05a7d,2022-04-29,23:32:26.64,2022-04-29T18:32:26.6441062-05:00,2022-04-29T23:32:26.6441062Z,,v3,,,,"McManus, Tyler",1000079930,Right,LSU_TIG,a21faea9-2d57-47e8-bb1d-c2e6cb3f6787,55.37828,-126.4568,12.0685,6.31126,-4.62488,-10.84622,-1.01405,1.0658,1.27554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2022-04-29,18:32:42.54,1,2,"Hilliard, Ma'Khail",1000018210,Right,LSU_TIG,"Anderson, Ben",1000025449,Left,GEO_BUL,Undefined,1,Top,0,0,1,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,85.98664,-3.488648,-1.122853,2042.4661,215.280596,1:15,6.17591,1.346,5.15731,-21.67387,17.1328,11.26284,1.081,1.22743,79.15351,-7.483403,0.872487,0.448358,,,,,,,,,,,,-5.93552,9.84292,-1.25021,50,5.83333,1.94993,-124.61182,-8.34088,-9.3763,23.95477,-16.62527,LSU_TIG,GEO_BUL,LSU,D1,SEC,20220429-LSU-1,aac01960-c814-11ec-bef0-eb0ab4538cbf,84.06777,,,6.83314,,,,,,,61669b1c-cac5-438c-af0b-a35c50f05a7d,2022-04-29,23:32:42.54,2022-04-29T18:32:42.5450854-05:00,2022-04-29T23:32:42.5450854Z,,v3,,,,"McManus, Tyler",1000079930,Right,LSU_TIG,d452b0a5-8d8b-40d3-ad16-1c462d177939,55.34487,-125.63509,11.97739,6.17446,-7.63071,-8.31263,-1.34206,2.35046,-4.68815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2022-04-29,18:33:01.37,1,3,"Hilliard, Ma'Khail",1000018210,Right,LSU_TIG,"Anderson, Ben",1000025449,Left,GEO_BUL,Undefined,1,Top,0,1,1,Fastball,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,,87.49072,-0.515948,-1.132104,2492.585832,172.894951,11:45,6.31322,1.22025,5.15784,-20.58064,16.86485,-1.95689,4.11238,-0.00866,80.05648,-4.349012,-1.478408,0.440424,,,,,,,,,,,,0.66598,8.88764,-1.11294,50,6.24967,2.59782,-126.95235,-1.84849,1.08972,25.35102,-17.63133,LSU_TIG,GEO_BUL,LSU,D1,SEC,20220429-LSU-1,b5f6e340-c814-11ec-bef0-eb0ab4538cbf,85.58212,,,7.43424,,,,,,,61669b1c-cac5-438c-af0b-a35c50f05a7d,2022-04-29,23:33:01.37,2022-04-29T18:33:01.3730150-05:00,2022-04-29T23:33:01.3730150Z,,v3,,,,"McManus, Tyler",1000079930,Right,LSU_TIG,274c3b26-2c73-4c16-bcee-d061cb9ca2dc,55.34226,-128.0147,12.67551,6.31165,-1.10964,-8.81567,-1.22084,2.55216,0.54486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2022-04-29,18:33:20.28,1,4,"Hilliard, Ma'Khail",1000018210,Right,LSU_TIG,"Anderson, Ben",1000025449,Left,GEO_BUL,Undefined,1,Top,0,2,1,Fastball,Cutter,InPlay,Undefined,LineDrive,Single,0,0,,87.71779,-3.419072,-0.746201,2393.568697,169.469923,11:45,6.25022,0.84733,5.23068,-19.87619,17.3056,-3.0015,1.37559,-0.10432,80.7022,-7.097063,-1.278545,0.438871,98.29059,7.917284,10.617153,5373.373245,107.91857,7.26989,21.29728,169.81627,,11.759428,1.410424,1.31406,9.93138,-0.77619,50,5.92036,1.78766,-127.15379,-8.27659,2.16047,25.03947,-15.84573,LSU_TIG,GEO_BUL,LSU,D1,SEC,20220429-LSU-1,c1424690-c814-11ec-bef0-eb0ab4538cbf,85.88506,7.80591,,7.01559,,,,2.33365,1.52142,0.07853,61669b1c-cac5-438c-af0b-a35c50f05a7d,2022-04-29,23:33:20.28,2022-04-29T18:33:20.2897254-05:00,2022-04-29T23:33:20.2897254Z,LineDrive,v3,,,,"McManus, Tyler",1000079930,Right,LSU_TIG,6b99cbac-a439-43bd-8b5b-18539952950c,55.27172,-128.18771,12.51973,6.24861,-7.6223,-7.92287,-0.84816,1.69845,1.08024,220.18518,2.33365,140.34071,-21.15307,3.77075,-0.8303,0.17863,-0.03752,0.00652,-0.00062,1.52142,19.85698,-16.54556,1.53137,-0.31257,0.07535,-0.01511,0.00256,-0.00025,0.07853,26.30754,-1.82303,0.49534,-0.11228,0.02475,-0.00502,0.00085,-8E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
5,2022-04-29,18:34:01.52,2,1,"Hilliard, Ma'Khail",1000018210,Right,LSU_TIG,"Acton, Cory",1000013578,Left,GEO_BUL,Undefined,1,Top,0,0,0,ChangeUp,Changeup,InPlay,Undefined,Bunt,Sacrifice,1,0,,84.48953,-1.958698,-2.128646,2106.832931,217.41613,1:15,6.18243,1.14504,5.31672,-23.70265,16.33021,11.50934,2.36684,0.10534,77.3817,-6.356824,-0.085441,0.455386,,,,,,,,,,,,-6.39492,9.12063,-0.96083,50,5.98792,4.06879,-122.52133,-4.97884,-9.72629,24.07635,-18.30212,LSU_TIG,GEO_BUL,LSU,D1,SEC,20220429-LSU-1,d9d181d0-c814-11ec-bef0-eb0ab4538cbf,82.77028,,,7.10782,,,,,,,61669b1c-cac5-438c-af0b-a35c50f05a7d,2022-04-29,23:34:01.52,2022-04-29T18:34:01.5225702-05:00,2022-04-29T23:34:01.5225702Z,,v3,,,,"McManus, Tyler",1000079930,Right,LSU_TIG,3b0cf395-cbb9-4a38-9a69-da37e85eed0a,55.18542,-123.5361,12.03818,6.18152,-4.20743,-9.15106,-1.14096,4.47873,-4.86315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2022-04-29,18:35:13.95,3,1,"Hilliard, Ma'Khail",1000018210,Right,LSU_TIG,"Tate, Connor",8899711,Right,GEO_BUL,Undefined,1,Top,1,0,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,79.63273,-0.249539,-1.192087,2792.746755,96.188572,9:15,6.07613,1.13347,4.62335,-43.11979,2.73469,-13.07804,2.24553,-1.08982,73.80585,-7.978071,-3.486309,0.487374,,,,,,,,,,,,6.10992,1.79264,-0.99823,50,6.01072,2.9671,-115.59467,-2.13539,8.33222,19.95755,-29.72942,LSU_TIG,GEO_BUL,LSU,D1,SEC,20220429-LSU-1,050ab920-c815-11ec-bef0-eb0ab4538cbf,77.33782,,,5.82689,,,,,,,61669b1c-cac5-438c-af0b-a35c50f05a7d,2022-04-29,23:35:13.95,2022-04-29T18:35:13.9536742-05:00,2022-04-29T23:35:13.9536742Z,,v3,,,,"McManus, Tyler",1000079930,Right,LSU_TIG,12af9ef5-c85b-4ba0-b84b-53118218b7b6,55.88019,-116.60547,9.97878,6.08074,-0.62966,-14.86471,-1.13782,2.54509,4.16611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2022-04-29,18:35:41.98,3,2,"Hilliard, Ma'Khail",1000018210,Right,LSU_TIG,"Tate, Connor",8899711,Right,GEO_BUL,Undefined,1,Top,1,0,1,Slider,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,79.03045,-0.617711,-1.12491,2870.463005,80.882791,8:45,6.14661,0.89987,4.40892,-48.07955,-0.87354,-14.3782,1.55029,-1.37208,73.03199,-9.17959,-3.639943,0.494504,,,,,,,,,,,,6.69792,0.14972,-0.76501,50,6.03333,2.87664,-114.62098,-3.1019,8.92441,20.87847,-31.97457,LSU_TIG,GEO_BUL,LSU,D1,SEC,20220429-LSU-1,15bb7d40-c815-11ec-bef0-eb0ab4538cbf,76.22268,,,5.99846,,,,,,,61669b1c-cac5-438c-af0b-a35c50f05a7d,2022-04-29,23:35:41.98,2022-04-29T18:35:41.9843942-05:00,2022-04-29T23:35:41.9843942Z,,v3,,,,"McManus, Tyler",1000079930,Right,LSU_TIG,28ef6436-13e4-436b-bc00-40bc7ffa5e4c,56.09486,-115.72585,10.43923,6.1527,-1.40984,-15.98728,-0.90474,2.40437,4.4622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2022-04-29,18:36:12.66,3,3,"Hilliard, Ma'Khail",1000018210,Right,LSU_TIG,"Tate, Connor",8899711,Right,GEO_BUL,Undefined,1,Top,1,0,2,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,80.27336,-0.935266,-2.330787,2760.868527,66.880483,8:15,6.22369,0.93504,4.64378,-51.00648,-5.15697,-15.578,1.08354,-2.57933,73.7442,-10.031114,-5.064888,0.487348,,,,,,,,,,,,6.90095,-1.7661,-0.68136,50,6.08128,5.41603,-116.26381,-3.88121,9.36458,23.5474,-34.57062,LSU_TIG,GEO_BUL,LSU,D1,SEC,20220429-LSU-1,28077ad0-c815-11ec-bef0-eb0ab4538cbf,77.34201,,,6.52916,,,,,,,61669b1c-cac5-438c-af0b-a35c50f05a7d,2022-04-29,23:36:12.66,2022-04-29T18:36:12.6656358-05:00,2022-04-29T23:36:12.6656358Z,,v3,,,,"McManus, Tyler",1000079930,Right,LSU_TIG,50e67450-c773-4965-8ed8-d29d23997703,55.85912,-117.44449,11.7737,6.23243,-2.14782,-17.28531,-0.94115,4.94649,4.68229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2022-04-29,18:36:38.74,3,4,"Hilliard, Ma'Khail",1000018210,Right,LSU_TIG,"Tate, Connor",8899711,Right,GEO_BUL,Undefined,1,Top,1,1,2,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,79.70009,-2.581915,-1.631601,2906.844064,76.321927,8:30,6.22639,0.9377,4.55735,-49.00046,-2.35362,-15.90178,-0.31717,-1.94087,73.51368,-11.272387,-4.42434,0.491567,,,,,,,,,,,,7.38036,-0.03949,-0.75213,50,5.91152,3.95995,-115.39652,-7.07341,9.87383,23.04527,-32.22688,LSU_TIG,GEO_BUL,LSU,D1,SEC,20220429-LSU-1,378eb310-c815-11ec-bef0-eb0ab4538cbf,76.67818,,,6.1864,,,,,,,61669b1c-cac5-438c-af0b-a35c50f05a7d,2022-04-29,23:36:38.74,2022-04-29T18:36:38.7444582-05:00,2022-04-29T23:36:38.7444582Z,,v3,,,,"McManus, Tyler",1000079930,Right,LSU_TIG,8d29c6e4-1566-48e0-87f3-0ad810f65581,55.94713,-116.57814,11.52263,6.23184,-5.42101,-16.11344,-0.94219,3.45368,4.93692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2022-04-29,18:37:09.01,3,5,"Hilliard, Ma'Khail",1000018210,Right,LSU_TIG,"Tate, Connor",8899711,Right,GEO_BUL,Undefined,1,Top,1,2,2,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,76.00967,-1.275208,-1.123689,2916.884454,28.441478,7:00,6.45547,0.34456,4.81127,-65.31862,-14.7967,-8.85642,-0.1963,-1.45819,70.63769,-12.865666,-2.691422,0.511577,,,,,,,,,,,,4.08693,-6.62504,-0.22462,50,6.27104,2.5122,-110.30878,-4.81256,5.00849,20.61165,-40.29293,LSU_TIG,GEO_BUL,LSU,D1,SEC,20220429-LSU-1,4997b430-c815-11ec-bef0-eb0ab4538cbf,73.67886,,,5.37198,,,,,,,61669b1c-cac5-438c-af0b-a35c50f05a7d,2022-04-29,23:37:09.01,2022-04-29T18:37:09.0184038-05:00,2022-04-29T23:37:09.0184038Z,,v3,,,,"McManus, Tyler",1000079930,Right,LSU_TIG,52102f63-4e67-4fd3-ae00-dca9a94eceac,55.69609,-111.36803,10.30582,6.46515,-2.74187,-20.14647,-0.34711,2.25481,2.50424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
