PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2022-03-05,14:01:50.43,1,1,"Sullivan, Liam",1000096938,Left,GEO_BUL,"Simpson, Chandler",1000050275,Left,GIT_YEL,Undefined,1,Top,0,0,0,Other,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,88.69477,-2.551478,1.918807,2325.429512,146.417541,11:00,7.20122,-1.1278,5.263,-15.65064,21.07466,-13.13894,3.49701,-0.41936,80.41168,-5.528308,-0.410843,0.436168,,,,,,,,,,,,7.09445,11.64383,0.962,50,6.95639,-3.69314,-128.42371,-6.19576,11.7611,28.41917,-12.87102,GEO_BUL,GIT_YEL,UGeorgia,D1,SEC,20220305-UGeorgia-1,b71c9f50-9cb6-11ec-8436-0f5092cce989,86.41721,,,8.28309,,,,,,,79267747-431f-4287-9a64-317351863b4a,2022-03-05,19:01:50.43,2022-03-05T14:01:50.4360000-05:00,2022-03-05T19:01:50.4360000Z,,v3,,,D1B-05 March 2022 14:00-gatech@georgia,"Collins, Corey",690970,Right,GEO_BUL,568750db-2068-49fd-a968-10d23f092112,55.23398,-129.57677,14.20958,7.19718,-5.67354,-6.43551,1.12153,-4.17033,5.88055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.96093,1.936531,0.738509,1.198022,-2.15996,3.1432,0.44984,-1.16365,6.77438,0.79806,127.2837,4.10208,4.92796,-0.89675,120.27235,-11.02188,6.73977,9.16086,-9.48962,0.68698,-0.43418,3.29251,High,High,High,,,High,High,High
2,2022-03-05,14:02:25.26,1,2,"Sullivan, Liam",1000096938,Left,GEO_BUL,"Simpson, Chandler",1000050275,Left,GIT_YEL,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.12186,-5.120507,2.827193,2422.826935,146.265538,11:00,6.86717,-1.14521,5.86465,-12.59883,21.51332,-13.5765,1.04193,0.35194,83.01426,-7.547263,0.395116,0.420364,,,,,,,,,,,,7.76386,12.84276,0.92389,50,6.4434,-5.9152,-131.67526,-12.13784,13.57314,29.06666,-9.72172,GEO_BUL,GIT_YEL,UGeorgia,D1,SEC,20220305-UGeorgia-1,cbe81bd0-9cb6-11ec-8436-0f5092cce989,89.66613,,,8.10759,,,,,,,79267747-431f-4287-9a64-317351863b4a,2022-03-05,19:02:25.26,2022-03-05T14:02:25.2674306-05:00,2022-03-05T19:02:25.2674306Z,,v3,,,D1B-05 March 2022 14:00-gatech@georgia,"Collins, Corey",690970,Right,GEO_BUL,eee02fe2-238f-432c-a769-7ae5a7e62f99,54.63483,-132.69443,14.53333,6.86301,-11.79697,-4.86086,1.13964,-6.39112,6.78657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2022-03-05,14:02:38.05,1,3,"Sullivan, Liam",1000096938,Left,GEO_BUL,"Simpson, Chandler",1000050275,Left,GIT_YEL,Undefined,1,Top,0,1,0,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,91.10794,-4.199075,1.846826,2398.478274,152.607544,11:00,6.83533,-1.05451,5.70199,-14.15627,20.02383,-9.7763,1.73382,-0.14771,83.09193,-6.896393,0.098982,0.420783,,,,,,,,,,,,5.48733,11.72162,0.90569,50,6.47367,-3.81757,-131.87405,-10.09079,9.63295,28.863,-11.5969,GEO_BUL,GIT_YEL,UGeorgia,D1,SEC,20220305-UGeorgia-1,d3751790-9cb6-11ec-8436-0f5092cce989,89.57694,,,8.01601,,,,,,,79267747-431f-4287-9a64-317351863b4a,2022-03-05,19:02:38.05,2022-03-05T14:02:38.0518658-05:00,2022-03-05T19:02:38.0518658Z,,v3,,,D1B-05 March 2022 14:00-gatech@georgia,"Collins, Corey",690970,Right,GEO_BUL,6113b9c8-7646-4a23-91ad-61b5bcbbc660,54.79659,-132.91972,14.4315,6.83163,-9.67065,-5.79845,1.05032,-4.16657,4.81648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2022-03-05,14:02:55.96,1,4,"Sullivan, Liam",1000096938,Left,GEO_BUL,"Simpson, Chandler",1000050275,Left,GIT_YEL,Undefined,1,Top,0,1,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.00514,-3.970896,2.589892,2256.962339,159.370555,11:15,6.72732,-1.21869,5.63277,-13.76265,20.54548,-7.30323,1.86576,0.59078,83.08202,-6.595503,1.287238,0.42157,,,,,,,,,,,,4.4239,11.87064,1.00292,50,6.37997,-5.63053,-131.69978,-9.54334,7.75983,28.3067,-11.35203,GEO_BUL,GIT_YEL,UGeorgia,D1,SEC,20220305-UGeorgia-1,de221800-9cb6-11ec-8436-0f5092cce989,89.40961,,,7.92312,,,,,,,79267747-431f-4287-9a64-317351863b4a,2022-03-05,19:02:55.96,2022-03-05T14:02:55.9667970-05:00,2022-03-05T19:02:55.9667970Z,,v3,,,D1B-05 March 2022 14:00-gatech@georgia,"Collins, Corey",690970,Right,GEO_BUL,a52a39a7-2fe9-4aa7-b038-859beb6fc2e0,54.8658,-132.74149,14.15335,6.72349,-9.12558,-5.67601,1.21538,-5.9161,3.87991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2022-03-05,14:03:12.49,1,5,"Sullivan, Liam",1000096938,Left,GEO_BUL,"Simpson, Chandler",1000050275,Left,GIT_YEL,Undefined,1,Top,0,1,2,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,92.46395,-3.422543,2.742458,2440.898006,146.706392,11:00,6.8565,-0.89214,5.57154,-13.54729,19.91611,-12.30902,2.52311,0.64577,83.86904,-6.019936,0.549343,0.416348,70.37988,45.099056,-78.43019,5592.451358,,,,,,,,7.04646,11.44111,0.66401,50,6.55245,-5.846,-133.80214,-8.40545,12.6792,30.87694,-11.58726,GEO_BUL,GIT_YEL,UGeorgia,D1,SEC,20220305-UGeorgia-1,e802eed0-9cb6-11ec-8436-0f5092cce989,90.53106,79.084,,8.59491,,,,,,,79267747-431f-4287-9a64-317351863b4a,2022-03-05,19:03:12.49,2022-03-05T14:03:12.4937986-05:00,2022-03-05T19:03:12.4937986Z,,v3,,,D1B-05 March 2022 14:00-gatech@georgia,"Collins, Corey",690970,Right,GEO_BUL,3633a37c-d44e-49c0-829c-96bdb54805b1,54.92719,-134.93438,15.43847,6.85288,-7.98055,-5.79363,0.8869,-6.31094,6.3396,,2.62168,14.61442,-11.68694,3.39044,-1.00171,0.48413,-0.29768,0.11746,-0.01918,14.13987,73.11596,-22.70151,2.14561,-0.31635,-0.04973,0.08543,-0.03931,0.00676,-11.84309,-71.38341,10.3509,-2.09498,0.40261,-0.09816,0.03859,-0.01287,0.00197,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
6,2022-03-05,14:03:32.71,1,6,"Sullivan, Liam",1000096938,Left,GEO_BUL,"Simpson, Chandler",1000050275,Left,GIT_YEL,Undefined,1,Top,0,1,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.73872,-5.617502,2.784555,2358.540254,142.496168,10:45,6.88472,-0.8715,5.56906,-13.46946,20.03281,-14.44603,0.49166,0.52786,84.17078,-8.183592,0.21013,0.41659,,,,,,,,,,,,8.16189,12.19796,0.64113,50,6.38996,-5.84853,-133.78832,-13.56895,14.66593,31.1852,-10.25576,GEO_BUL,GIT_YEL,UGeorgia,D1,SEC,20220305-UGeorgia-1,f4194340-9cb6-11ec-8436-0f5092cce989,90.47857,,,8.56794,,,,,,,79267747-431f-4287-9a64-317351863b4a,2022-03-05,19:03:32.71,2022-03-05T14:03:32.7142146-05:00,2022-03-05T19:03:32.7142146Z,,v3,,,D1B-05 March 2022 14:00-gatech@georgia,"Collins, Corey",690970,Right,GEO_BUL,ccecb8cd-f2cb-42cd-8f6b-686c85667bde,54.93013,-134.93261,15.5926,6.88095,-13.19263,-5.12788,0.8656,-6.38667,7.33297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2022-03-05,14:03:48.22,1,7,"Sullivan, Liam",1000096938,Left,GEO_BUL,"Simpson, Chandler",1000050275,Left,GIT_YEL,Undefined,1,Top,0,2,2,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,,92.51631,-2.849238,1.789868,2395.245439,141.24556,10:45,6.74748,-1.16409,5.5995,-13.98367,19.52115,-14.68914,2.91862,-0.71661,83.46248,-5.538607,-0.831455,0.416605,87.02635,28.892966,9.650101,2843.771463,108.38206,55.23165,18.79579,310.91199,,7.994695,4.697774,8.00225,11.1378,1.02051,50,6.49443,-3.51213,-133.96612,-7.07616,14.34358,32.63916,-12.2101,GEO_BUL,GIT_YEL,UGeorgia,D1,SEC,20220305-UGeorgia-1,fd559cb0-9cb6-11ec-8436-0f5092cce989,90.47514,69.38828,,9.05384,,,,0.90307,3.02381,0.71849,79267747-431f-4287-9a64-317351863b4a,2022-03-05,19:03:48.22,2022-03-05T14:03:48.2246402-05:00,2022-03-05T19:03:48.2246402Z,FlyBall,v3,,,D1B-05 March 2022 14:00-gatech@georgia,"Collins, Corey",690970,Right,GEO_BUL,f4b790fd-e67c-4a56-ae5e-13b8ffdaeb42,54.89865,-135.15435,16.31958,6.74395,-6.63166,-6.10505,1.15787,-4.03431,7.17179,181.372185,0.90482,110.1329,-20.62731,4.61852,-0.86832,0.14278,-0.02317,0.00313,-0.0002,3.02351,61.67193,-15.31338,0.32891,0.22684,-0.15685,0.05075,-0.0078,0.00045,0.71839,18.73626,-3.25459,0.29699,0.00831,-0.00588,-0.00046,0.00035,-3E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
8,2022-03-05,14:04:25.79,2,1,"Sullivan, Liam",1000096938,Left,GEO_BUL,"Parada, Kevin",691006,Right,GIT_YEL,Undefined,1,Top,1,0,0,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,76.48423,-0.275876,-0.3159,2486.000281,322.684675,4:45,6.71457,-1.13205,4.86555,-58.41881,-8.98796,7.96788,1.58524,-0.76703,71.0044,-10.719061,1.093047,0.506023,,,,,,,,,,,,-4.02906,-3.94044,1.15603,50,6.63723,0.2918,-111.08663,-2.65151,-5.04664,19.45449,-37.10967,GEO_BUL,GIT_YEL,UGeorgia,D1,SEC,20220305-UGeorgia-1,13c441e0-9cb7-11ec-8436-0f5092cce989,74.48757,,,5.47983,,,,,,,79267747-431f-4287-9a64-317351863b4a,2022-03-05,19:04:25.79,2022-03-05T14:04:25.7964802-05:00,2022-03-05T19:04:25.7964802Z,,v3,,,D1B-05 March 2022 14:00-gatech@georgia,"Collins, Corey",690970,Right,GEO_BUL,acf8c08c-b5ea-436b-93e5-e0d07c2f71d3,55.63808,-112.06967,9.72724,6.72384,-0.77635,-18.55484,1.13485,0.5468,-2.52332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2022-03-05,14:04:39.10,2,2,"Sullivan, Liam",1000096938,Left,GEO_BUL,"Parada, Kevin",691006,Right,GIT_YEL,Undefined,1,Top,1,1,0,ChangeUp,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,85.87499,-3.94154,2.880228,2295.321021,143.71168,10:45,6.75995,-1.0432,5.85225,-21.17076,17.12639,-11.62056,1.32284,0.66696,78.45836,-7.910185,0.797632,0.445404,,,,,,,,,,,,6.76768,10.28512,0.81579,50,6.42648,-5.7772,-124.27485,-9.20574,10.54477,25.7655,-16.14873,GEO_BUL,GIT_YEL,UGeorgia,D1,SEC,20220305-UGeorgia-1,1bb1ad20-9cb7-11ec-8436-0f5092cce989,84.62519,,,7.41663,,,,,,,79267747-431f-4287-9a64-317351863b4a,2022-03-05,19:04:39.10,2022-03-05T14:04:39.1044866-05:00,2022-03-05T19:04:39.1044866Z,,v3,,,D1B-05 March 2022 14:00-gatech@georgia,"Collins, Corey",690970,Right,GEO_BUL,837c7c15-4c8d-4da9-880c-aeb98fff8450,54.64654,-125.2345,12.88275,6.75815,-8.60428,-8.07437,1.03828,-6.16995,5.27239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2022-03-05,14:04:53.79,2,3,"Sullivan, Liam",1000096938,Left,GEO_BUL,"Parada, Kevin",691006,Right,GIT_YEL,Undefined,1,Top,1,2,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,85.11002,-4.459737,2.426494,2063.116222,142.380878,10:45,6.77507,-0.98711,5.74892,-20.81458,18.28249,-13.07682,0.87639,0.18356,77.94125,-8.350035,0.08588,0.450032,,,,,,,,,,,,7.35201,10.97674,0.79357,50,6.39101,-4.68422,-123.13947,-10.23523,11.26766,24.87563,-15.35115,GEO_BUL,GIT_YEL,UGeorgia,D1,SEC,20220305-UGeorgia-1,246accd0-9cb7-11ec-8436-0f5092cce989,83.75497,,,7.16877,,,,,,,79267747-431f-4287-9a64-317351863b4a,2022-03-05,19:04:53.79,2022-03-05T14:04:53.7965314-05:00,2022-03-05T19:04:53.7965314Z,,v3,,,D1B-05 March 2022 14:00-gatech@georgia,"Collins, Corey",690970,Right,GEO_BUL,21b9af6a-dd25-4929-9820-2a55e188aaca,54.75036,-124.09539,12.43782,6.773,-9.64532,-7.67558,0.98189,-5.11721,5.63383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
