PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2022-05-17,18:02:05.50,1,1,"Willis, Coleman",90000210235,Right,GEO_BUL,"Decker, Kyle",1000079818,Right,PRE_BLH,Undefined,1,Top,0,0,0,Other,Cutter,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,91.72414,-1.615128,-1.704317,2350.200848,173.922318,11:45,6.73119,1.86853,5.98219,-22.78198,10.40075,-0.99366,3.33453,0.20548,83.80531,-5.874174,-1.88294,0.414598,,,,,,,,,,,,0.02256,6.13181,-1.73334,50,6.59096,4.00462,-133.14108,-4.51624,0.04039,29.2546,-21.19505,GEO_BUL,PRE_BLH,UGeorgia,D1,SEC,20220517-UGeorgia-1,fd701950-d62c-11ec-a1c2-9bafb1273f2e,90.91316,,,7.91882,,,,,,,b9057881-63e0-4a9d-9e77-e08c054d59c3,2022-05-17,22:02:05.50,2022-05-17T18:02:05.5060000-04:00,2022-05-17T22:02:05.5060000Z,,v3,,,,"Collins, Corey",690970,Right,GEO_BUL,8e176a86-f681-483b-8a30-85065d97ae76,54.51615,-134.12973,14.6273,6.73149,-3.79996,-10.59753,-1.86865,4.00325,0.02019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.75718,1.947835,0.749568,1.198267,-1.25721,3.05356,-0.11737,-1.0766,6.79329,0.70476,127.27998,1.63367,1.6453,-0.90197,119.33013,-10.33539,6.7715,7.00409,-9.42061,0.67422,-0.88523,1.41904,High,High,High,,,High,High,High
2,2022-05-17,18:02:36.86,1,2,"Willis, Coleman",90000210235,Right,GEO_BUL,"Decker, Kyle",1000079818,Right,PRE_BLH,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.25025,-4.623576,-2.0282,2383.987418,189.138995,12:15,6.66986,1.89285,6.34579,-20.96718,10.47591,1.54032,0.6543,0.15332,86.54382,-8.514719,-1.749257,0.403584,,,,,,,,,,,,-1.31161,6.90485,-1.74618,50,6.32303,4.72702,-135.21895,-11.60879,-2.45363,26.61821,-19.25717,GEO_BUL,PRE_BLH,UGeorgia,D1,SEC,20220517-UGeorgia-1,10249cb0-d62d-11ec-a1c2-9bafb1273f2e,93.39426,,,6.70643,,,,,,,b9057881-63e0-4a9d-9e77-e08c054d59c3,2022-05-17,22:02:36.86,2022-05-17T18:02:36.8648284-04:00,2022-05-17T22:02:36.8648284Z,,v3,,,,"Collins, Corey",690970,Right,GEO_BUL,0165a58f-7a65-4c23-9c8e-6a129bea0bf3,54.15572,-136.03455,13.3091,6.6697,-11.01873,-9.62858,-1.89217,4.8022,-1.22681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2022-05-17,18:02:49.25,1,3,"Willis, Coleman",90000210235,Right,GEO_BUL,"Decker, Kyle",1000079818,Right,PRE_BLH,Undefined,1,Top,0,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.12521,-4.48832,-1.827727,2385.877534,192.387887,12:30,6.63803,1.70912,6.43896,-21.16753,10.30662,2.06051,0.73895,0.20066,86.21364,-8.429366,-1.4538,0.403784,,,,,,,,,,,,-1.55709,6.84225,-1.5802,50,6.30879,4.22964,-135.0731,-11.26713,-2.8978,27.39488,-19.44022,GEO_BUL,PRE_BLH,UGeorgia,D1,SEC,20220517-UGeorgia-1,17902dc0-d62d-11ec-a1c2-9bafb1273f2e,93.34812,,,6.91157,,,,,,,b9057881-63e0-4a9d-9e77-e08c054d59c3,2022-05-17,22:02:49.25,2022-05-17T18:02:49.2541532-04:00,2022-05-17T22:02:49.2541532Z,,v3,,,,"Collins, Corey",690970,Right,GEO_BUL,c347c363-6181-4a6e-b3e6-8c870675f937,54.06276,-135.89459,13.69744,6.63791,-10.68417,-9.72011,-1.70834,4.31654,-1.4489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2022-05-17,18:03:03.84,1,4,"Willis, Coleman",90000210235,Right,GEO_BUL,"Decker, Kyle",1000079818,Right,PRE_BLH,Undefined,1,Top,0,2,0,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,92.42594,-2.886311,-2.699374,2541.724059,183.368699,12:00,6.61771,1.76876,6.19275,-17.20595,15.03619,0.82803,2.51388,-0.65628,85.12215,-6.13096,-2.550152,0.40868,,,,,,,,,,,,-1.13091,8.84422,-1.56572,50,6.39105,6.28862,-134.11418,-7.28466,-2.07263,27.30406,-15.96491,GEO_BUL,PRE_BLH,UGeorgia,D1,SEC,20220517-UGeorgia-1,20330650-d62d-11ec-a1c2-9bafb1273f2e,92.22971,,,7.30379,,,,,,,b9057881-63e0-4a9d-9e77-e08c054d59c3,2022-05-17,22:03:03.84,2022-05-17T18:03:03.8404700-04:00,2022-05-17T22:03:03.8404700Z,,v3,,,,"Collins, Corey",690970,Right,GEO_BUL,aba04bee-9ad7-4c23-bed1-2080b985238d,54.30696,-134.98817,13.65203,6.61605,-6.77362,-7.98246,-1.76808,6.35496,-1.03631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2022-05-17,18:03:18.23,1,5,"Willis, Coleman",90000210235,Right,GEO_BUL,"Decker, Kyle",1000079818,Right,PRE_BLH,Undefined,1,Top,0,2,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.47686,-3.594068,-2.853657,2417.165741,167.734734,11:30,6.63213,1.66693,6.21132,-15.56339,16.96056,-3.45469,2.00964,-1.25685,84.49892,-6.55295,-3.47602,0.410462,,,,,,,,,,,,0.96327,10.13524,-1.45115,50,6.35395,6.82376,-133.95451,-8.85813,1.74501,29.74893,-13.81374,GEO_BUL,PRE_BLH,UGeorgia,D1,SEC,20220517-UGeorgia-1,28d6c940-d62d-11ec-a1c2-9bafb1273f2e,91.82928,,,7.97794,,,,,,,b9057881-63e0-4a9d-9e77-e08c054d59c3,2022-05-17,22:03:18.23,2022-05-17T18:03:18.2356060-04:00,2022-05-17T22:03:18.2356060Z,,v3,,,,"Collins, Corey",690970,Right,GEO_BUL,dd2dbb9f-f43b-4374-9a2a-0929aaa164a5,54.28676,-134.90316,14.87446,6.6294,-8.41763,-6.90687,-1.66786,6.76811,0.8725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2022-05-17,18:03:33.97,1,6,"Willis, Coleman",90000210235,Right,GEO_BUL,"Decker, Kyle",1000079818,Right,PRE_BLH,Undefined,1,Top,0,3,1,Fastball,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,,92.01396,-1.707028,-2.007612,2421.440662,200.86953,12:45,6.61019,1.9034,6.4404,-16.5165,16.0393,5.69433,3.66375,0.53232,83.54606,-4.883094,-0.975642,0.410663,,,,,,,,,,,,-3.54921,9.19914,-1.76304,50,6.48116,4.4438,-133.55631,-4.42267,-6.36366,30.73274,-15.68022,GEO_BUL,PRE_BLH,UGeorgia,D1,SEC,20220517-UGeorgia-1,322fab60-d62d-11ec-a1c2-9bafb1273f2e,91.78431,,,8.46791,,,,,,,b9057881-63e0-4a9d-9e77-e08c054d59c3,2022-05-17,22:03:33.97,2022-05-17T18:03:33.9737692-04:00,2022-05-17T22:03:33.9737692Z,,v3,,,,"Collins, Corey",690970,Right,GEO_BUL,c740633f-1a3e-465a-9220-c7de640cf1b4,54.05657,-134.48653,15.36637,6.60784,-3.94806,-7.84011,-1.90046,4.63642,-3.18183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2022-05-17,18:04:07.60,2,1,"Willis, Coleman",90000210235,Right,GEO_BUL,"Fahr, Brody",90000182937,Left,PRE_BLH,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.19516,-3.06617,-1.833216,2481.763303,197.749187,12:30,6.57842,1.53301,6.22221,-16.05135,16.66958,4.9804,2.40739,0.25589,83.89792,-6.133367,-0.934057,0.411703,,,,,,,,,,,,-3.09788,9.8528,-1.39809,50,6.34052,4.06397,-133.66704,-7.60869,-5.57226,30.36743,-14.45137,GEO_BUL,PRE_BLH,UGeorgia,D1,SEC,20220517-UGeorgia-1,46358df0-d62d-11ec-a1c2-9bafb1273f2e,91.55247,,,8.29724,,,,,,,b9057881-63e0-4a9d-9e77-e08c054d59c3,2022-05-17,22:04:07.60,2022-05-17T18:04:07.6093020-04:00,2022-05-17T22:04:07.6093020Z,,v3,,,,"Collins, Corey",690970,Right,GEO_BUL,6e2ab65a-aed5-493c-a56f-52872f535cc9,54.27475,-134.6347,15.18371,6.57564,-7.1482,-7.22569,-1.53042,4.24154,-2.78613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2022-05-17,18:04:24.23,2,2,"Willis, Coleman",90000210235,Right,GEO_BUL,"Fahr, Brody",90000182937,Left,PRE_BLH,Undefined,1,Top,0,0,1,Slider,Curveball,HitByPitch,Undefined,Undefined,Undefined,0,0,,83.27402,-2.423588,-4.129167,2662.567506,27.828263,7:00,6.61614,1.63707,5.3688,-51.26404,-9.41504,-5.71429,0.06444,-2.71746,76.42059,-11.622192,-5.144647,0.465601,,,,,,,,,,,,1.56563,-3.59492,-1.26187,50,6.3615,8.928,-120.40746,-6.99252,2.26521,26.53281,-37.37537,GEO_BUL,PRE_BLH,UGeorgia,D1,SEC,20220517-UGeorgia-1,5028b440-d62d-11ec-a1c2-9bafb1273f2e,80.95437,,,6.85342,,,,,,,b9057881-63e0-4a9d-9e77-e08c054d59c3,2022-05-17,22:04:24.23,2022-05-17T18:04:24.2365020-04:00,2022-05-17T22:04:24.2365020Z,,v3,,,,"Collins, Corey",690970,Right,GEO_BUL,aa870a39-88e2-408c-a749-c64fbbb17680,55.13279,-121.53326,13.2664,6.62455,-5.40667,-18.68769,-1.63865,8.83189,1.13261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2022-05-17,18:05:27.60,3,1,"Willis, Coleman",90000210235,Right,GEO_BUL,"Toth, Eric",1000097861,Right,PRE_BLH,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.27245,-1.240881,-1.83187,2193.033764,204.180056,12:45,6.75581,1.90064,6.01655,-17.82954,14.83965,6.19733,4.11979,0.7196,84.29099,-4.618184,-0.717476,0.411378,,,,,,,,,,,,-3.6741,8.28028,-1.76021,50,6.64866,4.01325,-133.97573,-3.45156,-6.67806,28.93901,-17.12372,GEO_BUL,PRE_BLH,UGeorgia,D1,SEC,20220517-UGeorgia-1,75eb9ad0-d62d-11ec-a1c2-9bafb1273f2e,91.6249,,,7.98146,,,,,,,b9057881-63e0-4a9d-9e77-e08c054d59c3,2022-05-17,22:05:27.60,2022-05-17T18:05:27.6001884-04:00,2022-05-17T22:05:27.6001884Z,,v3,,,,"Collins, Corey",690970,Right,GEO_BUL,69ebaeb6-b505-4285-b22a-843415bf5c89,54.48144,-134.94026,14.46951,6.75419,-2.88083,-8.56186,-1.89768,4.23583,-3.33903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2022-05-17,18:05:44.06,3,2,"Willis, Coleman",90000210235,Right,GEO_BUL,"Toth, Eric",1000097861,Right,PRE_BLH,Undefined,1,Top,0,1,0,Fastball,Four-Seam,InPlay,Undefined,LineDrive,Single,0,0,,93.9281,-2.624975,-1.829158,2323.152109,197.928577,12:30,6.76665,1.82699,6.17134,-16.45477,14.81528,4.48173,2.968,0.51044,86.22993,-5.740132,-1.02079,0.402472,66.16475,19.507705,-23.909502,1706.595938,99.852,21.13062,-46.14699,185.91402,185.91402,-25.462289,2.475738,-2.83051,8.69008,-1.69082,50,6.55929,4.16924,-136.39614,-6.75834,-5.348,29.17039,-15.755,GEO_BUL,PRE_BLH,UGeorgia,D1,SEC,20220517-UGeorgia-1,7fbf7950-d62d-11ec-a1c2-9bafb1273f2e,93.65233,21.55021,,7.69817,,,,1.827,2.99604,-0.52944,b9057881-63e0-4a9d-9e77-e08c054d59c3,2022-05-17,22:05:44.06,2022-05-17T18:05:44.0668764-04:00,2022-05-17T22:05:44.0668764Z,LineDrive,v3,,,,"Collins, Corey",690970,Right,GEO_BUL,2540446e-04e0-4c98-9daa-cd8cff1c653c,54.32962,-137.31897,14.58519,6.76521,-6.25991,-7.8775,-1.82539,4.33843,-2.674,162.504689,1.82692,83.6259,-10.37061,2.27653,-0.52112,0.15382,-0.05016,0.01056,-0.00084,2.99612,32.40104,-14.65312,0.44921,0.00641,-0.02402,0.01013,0.00013,-0.00045,-0.52942,-37.07332,2.88521,-0.50071,0.13326,-0.0706,0.02974,-0.00662,0.00056,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
