PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID
11,3/6/21,1:06:15 PM,3,2,"Webb, Ryan",1000027901,Left,GEO_BUL,"Kachler, Alex",1000065959,Right,NOF_OSP,Windup,1,Top,2,0,1,Curveball,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,76.75479932,3.690913321,0.608913163,2616.598702,328.1042933,5:00,5.900685783,-2.256910256,5.383695009,-69.38651839,-20.29266317,12.60023397,3.582637249,-0.636187793,69.61249503,-9.266201092,2.97728511,0.504295493,,,,,,,,,,,,-6.502817967,-12.01056774,2.193905974,50,6.183074237,-1.560384276,-111.2720762,5.09791925,-8.011007004,23.20831387,-46.97020966,GEO_BUL,NOF_OSP,UGeorgia,D1,SEC,20210306-UGeorgia-1,a499e6ba-7ea6-11eb-ae7a-181deafaf045
12,3/6/21,1:06:31 PM,3,3,"Webb, Ryan",1000027901,Left,GEO_BUL,"Kachler, Alex",1000065959,Right,NOF_OSP,Windup,1,Top,2,1,1,Curveball,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,,77.06964783,1.970837091,2.045096557,2625.730574,321.3514048,4:45,5.931324502,-2.162975871,5.462594778,-63.01444008,-14.22546152,11.33912088,2.52640558,0.69663942,69.67093489,-9.823034688,4.183421,0.502727198,,,,,,,,,,,,-5.342083487,-8.295895376,1.975627788,50,6.062978265,-4.326888389,-111.7838866,1.986183063,-6.591235218,24.82255343,-42.40979233,GEO_BUL,NOF_OSP,UGeorgia,D1,SEC,20210306-UGeorgia-1,ae278366-7ea6-11eb-ae7a-181deafaf045
13,3/6/21,1:06:49 PM,3,4,"Webb, Ryan",1000027901,Left,GEO_BUL,"Kachler, Alex",1000065959,Right,NOF_OSP,Windup,1,Top,2,1,2,Fastball,Undefined,FoulBall,Undefined,Undefined,Undefined,0,0,,93.00041344,-2.341201607,3.207071145,2341.455051,138.4872649,10:30,5.847108792,-2.451510301,5.662197453,-15.43392543,17.04245714,-15.11167403,2.37348172,-0.717569119,85.17911627,-5.219874087,0.382424636,0.410161925,91.73723467,34.33879049,33.18922221,3842.692143,84.31577769,66.4108499,70.64550395,343.9702917,94.42501204,52.93919466,4.838218384,8.936327132,9.73683205,2.190035326,50,5.639329094,-7.033559647,-135.0586832,-6.075962478,16.56452997,28.43950111,-14.12568887,GEO_BUL,NOF_OSP,UGeorgia,D1,SEC,20210306-UGeorgia-1,b972dd92-7ea6-11eb-ae7a-181deafaf045
14,3/6/21,1:07:14 PM,3,5,"Webb, Ryan",1000027901,Left,GEO_BUL,"Kachler, Alex",1000065959,Right,NOF_OSP,Windup,1,Top,2,1,2,Fastball,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,92.29359492,-1.986331994,3.99329816,2346.647322,168.0830943,11:30,6.078438558,-2.134366819,5.980256455,-10.79045258,22.08398548,-4.667154712,3.333079171,1.183701741,83.78704702,-4.019324693,3.114386037,0.412667899,,,,,,,,,,,,3.703889057,12.55023186,1.821515554,50,5.915383629,-9.196185081,-133.9320745,-5.011254857,6.690716875,30.41137351,-9.503270137,GEO_BUL,NOF_OSP,UGeorgia,D1,SEC,20210306-UGeorgia-1,c3e54f92-7ea6-11eb-ae7a-181deafaf045
15,3/6/21,1:07:34 PM,3,6,"Webb, Ryan",1000027901,Left,GEO_BUL,"Kachler, Alex",1000065959,Right,NOF_OSP,Windup,1,Top,2,2,2,ChangeUp,Undefined,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,85.48464598,-2.420255243,3.232655624,1598.188374,131.8087586,10:30,5.77514449,-2.292332106,6.22219714,-23.74711346,13.80501543,-15.47479725,1.558452847,-0.596350971,78.72665961,-6.877441067,0.313301063,0.441050989,,,,,,,,,,,,9.285773133,8.162620067,2.058593706,50,5.582130003,-6.563125716,-124.2548198,-5.958176444,14.59459994,23.65504908,-19.34472647,GEO_BUL,NOF_OSP,UGeorgia,D1,SEC,20210306-UGeorgia-1,d3e6c7aa-7ea6-11eb-ae7a-181deafaf045
16,3/6/21,1:10:15 PM,1,1,"Bogart, Austin",1000001253,Left,NOF_OSP,"Jernigan, Randon",1000053962,Right,GEO_BUL,Windup,1,Bottom,0,0,0,Fastball,Undefined,FoulBall,Undefined,Undefined,Undefined,0,0,,85.35031638,-1.221216546,4.185211485,2016.662831,138.9946999,10:45,5.427698394,-2.417502416,5.555973188,-20.18943222,18.80340305,-16.38047864,2.601153678,0.134277918,77.61144263,-4.994657286,1.122710256,0.449431932,75.36544001,47.09246933,37.05028347,4036.677572,75.36574224,88.60964179,80.12485311,265.611706,65.43584987,55.79935485,5.001950073,9.940358697,10.38013999,2.066495886,50,5.308881493,-8.522212075,-123.8060145,-3.308658036,15.37897979,25.45921713,-16.11467203,GEO_BUL,NOF_OSP,UGeorgia,D1,SEC,20210306-UGeorgia-1,2f456a0e-7ea7-11eb-ae7a-181deafaf045
17,3/6/21,1:10:37 PM,1,2,"Bogart, Austin",1000001253,Left,NOF_OSP,"Jernigan, Randon",1000053962,Right,GEO_BUL,Windup,1,Bottom,0,0,1,Curveball,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,74.47924804,-0.069144167,2.540967844,2573.351841,342.5509379,5:30,5.514535134,-2.372361738,5.17376233,-58.92409519,-7.049697171,2.200541835,0.539073634,0.203324186,68.73352065,-10.90105495,2.950075607,0.51837978,,,,,,,,,,,,-0.412212856,-3.690848576,2.134414613,50,5.464204819,-4.866648793,-108.157724,-1.921915904,-0.485662795,19.81143146,-36.52254912,GEO_BUL,NOF_OSP,UGeorgia,D1,SEC,20210306-UGeorgia-1,40a083f3-7ea7-11eb-ae7a-181deafaf045
18,3/6/21,1:10:51 PM,1,3,"Bogart, Austin",1000001253,Left,NOF_OSP,"Jernigan, Randon",1000053962,Right,GEO_BUL,Windup,1,Bottom,0,1,1,Fastball,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,86.49546081,-2.738944632,4.748498509,2190.590479,143.5315458,10:45,5.374112627,-2.599308773,5.680634704,-16.84127738,20.9706921,-15.52591183,1.407147287,0.542772267,78.89412434,-5.885292947,1.846789488,0.442574276,,,,,,,,,,,,9.638454583,11.99302893,2.208773716,50,5.132309881,-9.902950194,-125.3075556,-6.564233025,15.32029196,25.39338768,-13.1111684,GEO_BUL,NOF_OSP,UGeorgia,D1,SEC,20210306-UGeorgia-1,48e79195-7ea7-11eb-ae7a-181deafaf045
19,3/6/21,1:11:04 PM,1,4,"Bogart, Austin",1000001253,Left,NOF_OSP,"Jernigan, Randon",1000053962,Right,GEO_BUL,Windup,1,Bottom,0,2,1,Fastball,Undefined,InPlay,Undefined,GroundBall,Out,1,0,,86.09674634,-2.270492794,3.541524423,2096.283067,146.7248403,11:00,5.611936975,-2.622370666,5.551982804,-13.95231643,24.18268794,-15.89358341,2.322804914,-0.633854139,78.65725881,-4.872008039,0.57515378,0.444460754,96.36387692,-13.5470775,-2.467436606,,,,,10.71181833,9.794271855,1.335921398,0.06824646,9.43091519,13.4994068,2.326641591,50,5.406279697,-7.205009147,-124.9597611,-5.428104808,14.94008267,24.73506728,-10.78882246,GEO_BUL,NOF_OSP,UGeorgia,D1,SEC,20210306-UGeorgia-1,50ee43b0-7ea7-11eb-ae7a-181deafaf045
20,3/6/21,1:11:45 PM,2,1,"Bogart, Austin",1000001253,Left,NOF_OSP,"King, Riley",10000432,Right,GEO_BUL,Windup,1,Bottom,1,0,0,Curveball,Undefined,FoulBall,Undefined,Undefined,Undefined,0,0,,74.31585703,1.267993257,1.912515761,2494.031602,305.8252796,4:15,5.594453805,-2.411062068,5.015398954,-58.86016231,-6.333069404,8.704442777,1.886833371,0.11970745,68.16049687,-9.574312532,3.528333979,0.521630769,67.87686961,-23.14953131,-55.48905189,,,,,6.136905037,6.008800817,-39.02489032,0.050844116,-3.98384507,-3.699515382,2.221140953,50,5.669764386,-3.872342353,-107.8890503,0.565639927,-4.658246703,20.16716666,-36.49983308,GEO_BUL,NOF_OSP,UGeorgia,D1,SEC,20210306-UGeorgia-1,64f578fd-7ea7-11eb-ae7a-181deafaf045
