PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID
11,4/18/21,1:07:54 PM,4,3,"Wagner, Luke A.",691022,Left,GEO_BUL,"Kessler, Coltyn",8898972,Left,KEN_WIL,Stretch,1,Top,1,0,2,Curveball,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,77.86590276,-1.215704134,3.784350328,,347.0133366,5:30,5.197689932,-1.664376994,5.43756993,-49.24033175,-3.516459906,0.801062002,-0.046560456,1.950724422,73.95915842,-10.1566228,3.931237259,0.48667946,,,,,,,,,,,,0.331709309,-1.610680461,1.329044388,50,5.055657879,-7.516142597,-113.2505946,-3.952380986,0.442931139,15.21804034,-34.32478872,GEO_BUL,KEN_WIL,UGeorgia,D1,SEC,20210418-UGeorgia-1,9c141fc4-a068-11eb-aea8-181deafaf045
12,4/18/21,1:08:29 PM,4,4,"Wagner, Luke A.",691022,Left,GEO_BUL,"Kessler, Coltyn",8898972,Left,KEN_WIL,Stretch,1,Top,1,1,2,ChangeUp,Undefined,FoulBall,Undefined,Undefined,Undefined,0,0,,79.08407525,-0.422651944,2.317258851,,199.5632151,12:45,5.428244978,-1.558310396,5.158847038,-40.38520234,4.757920766,1.705861331,1.664705059,0.765893959,73.8016861,-7.810450811,2.631125163,0.483578873,,,,,,,,,,,,-0.354036451,2.588053389,1.340927666,50,5.358045699,-4.711966857,-115.0536324,-2.180452919,-0.482189574,18.12882115,-28.64917885,GEO_BUL,KEN_WIL,UGeorgia,D1,SEC,20210418-UGeorgia-1,adf97a4b-a068-11eb-aea8-181deafaf045
13,4/18/21,1:09:02 PM,4,5,"Wagner, Luke A.",691022,Left,GEO_BUL,"Kessler, Coltyn",8898972,Left,KEN_WIL,Stretch,1,Top,1,1,2,ChangeUp,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,79.20967125,-1.431610999,3.57659566,2160.346999,205.723427,12:45,5.544971236,-1.593261118,5.148215242,-40.3636569,4.97796752,2.418779805,0.83081367,1.979415973,73.77099206,-8.799510498,4.021462829,0.484640893,,,,,,,,,,,,-0.386184659,2.959910401,1.256987164,50,5.380244293,-7.269258087,-115.0272179,-4.207487564,-0.523231547,19.08844122,-28.16374297,GEO_BUL,KEN_WIL,UGeorgia,D1,SEC,20210418-UGeorgia-1,c655137c-a068-11eb-aea8-181deafaf045
14,4/18/21,1:14:08 PM,4,6,"Wagner, Luke A.",691022,Left,GEO_BUL,"Kessler, Coltyn",8898972,Left,KEN_WIL,Stretch,1,Top,1,2,2,Slider,Undefined,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,78.80572355,-0.255428717,1.743004675,2031.745787,227.877444,1:30,5.470000825,-1.638512414,5.415982874,-40.57881075,4.689679703,5.233133246,1.849073693,0.430670664,73.1011758,-7.740004832,2.713967191,0.484249883,,,,,,,,,,,,-2.328586634,2.54565265,1.480215121,50,5.419209445,-3.653695043,-114.6691608,-1.785060333,-3.128183985,19.42797348,-28.75426175,GEO_BUL,KEN_WIL,UGeorgia,D1,SEC,20210418-UGeorgia-1,7bc7095a-a069-11eb-aea8-181deafaf045
15,4/18/21,1:14:48 PM,5,1,"Wagner, Luke A.",691022,Left,GEO_BUL,"Anu, Oraj",1000067034,Right,KEN_WIL,Stretch,1,Top,2,0,0,ChangeUp,Undefined,FoulBall,Undefined,Undefined,Undefined,0,0,,78.41465207,-0.20615802,3.25003962,,104.3474839,9:30,5.444723963,-2.025706285,4.982392823,-42.75439147,3.323988668,-13.1648999,1.686885613,-0.050742112,73.43120718,-7.989584643,0.84056809,0.48856249,72.31242885,-14.10516992,-147.3985475,,,,,5.125438312,2.16597348,-129.4142019,0.073269653,7.54367055,1.771032155,1.723145631,50,5.390148529,-6.031152976,-114.0152082,-1.850174579,10.1431114,16.74341416,-29.79274408,GEO_BUL,KEN_WIL,UGeorgia,D1,SEC,20210418-UGeorgia-1,947ad41a-a069-11eb-aea8-181deafaf045
16,4/18/21,1:15:31 PM,5,2,"Wagner, Luke A.",691022,Left,GEO_BUL,"Anu, Oraj",1000067034,Right,KEN_WIL,Stretch,1,Top,2,0,1,Fastball,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.73001947,-0.61542127,2.780181822,2174.716043,152.0832933,11:00,5.653834128,-1.373772093,5.568468646,-21.22060938,13.7250735,-7.289586169,3.309954246,0.617459659,82.17918079,-4.570419801,1.41991142,0.425469354,,,,,,,,,,,,4.631766106,7.477471033,1.139109217,50,5.586963687,-6.081586791,-130.4386758,-2.138405947,8.004847853,26.63466846,-19.25111234,GEO_BUL,KEN_WIL,UGeorgia,D1,SEC,20210418-UGeorgia-1,a8846ae0-a069-11eb-aea8-181deafaf045
17,4/18/21,1:15:57 PM,5,3,"Wagner, Luke A.",691022,Left,GEO_BUL,"Anu, Oraj",1000067034,Right,KEN_WIL,Stretch,1,Top,2,0,2,ChangeUp,Undefined,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,77.96296827,-1.011306054,1.175933009,,77.97780743,8:30,5.35987586,-1.398375965,5.045363603,-47.37625179,-1.152858926,-5.209387431,0.457773694,-0.723291968,73.68356053,-9.597426019,0.222031134,0.48933066,,,,,,,,,,,,2.951415573,-0.390597042,1.290590236,50,5.225809988,-2.157160828,-113.5458638,-3.583306737,3.95103991,15.83379679,-32.69693815,GEO_BUL,KEN_WIL,UGeorgia,D1,SEC,20210418-UGeorgia-1,ba69c508-a069-11eb-aea8-181deafaf045
18,4/18/21,1:18:44 PM,1,1,"Lee, Zack",1000073048,Right,KEN_WIL,"McAllister, Joshua",1000073631,Right,GEO_BUL,Windup,1,Bottom,0,0,0,Fastball,Undefined,FoulBall,Undefined,Undefined,Undefined,0,0,,92.70520768,-1.165590451,-2.711644064,2255.528265,237.4844181,2:00,5.026495744,2.249950433,5.996368164,-23.50603473,8.546965099,13.45527703,1.986356801,0.856953365,85.47302647,-5.56454219,-0.186401303,0.407479589,72.53275134,-29.07496384,-143.3077074,,,,,3.469982833,2.51057036,-123.270624,0.037196655,-7.959168534,4.914349663,-2.044181458,50,4.92173062,5.939302545,-134.8877318,-3.532471977,-14.78677447,27.04003734,-23.04402702,GEO_BUL,KEN_WIL,UGeorgia,D1,SEC,20210418-UGeorgia-1,1cd7363b-a06a-11eb-aea8-181deafaf045
19,4/18/21,1:19:08 PM,1,2,"Lee, Zack",1000073048,Right,KEN_WIL,"McAllister, Joshua",1000073631,Right,GEO_BUL,Windup,1,Bottom,0,0,1,Fastball,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.98187457,-1.415076219,-4.112095515,2255.709072,241.8965488,2:00,4.928246435,2.029267133,5.942039354,-22.80933106,9.321918977,17.5124433,1.711375538,-0.331762534,85.33180997,-5.687075545,-0.827349522,0.40797667,,,,,,,,,,,,-10.53958412,5.405885235,-1.711587159,50,4.802480277,9.118529958,-135.0365841,-4.112406044,-19.55462529,28.08135947,-22.14423534,GEO_BUL,KEN_WIL,UGeorgia,D1,SEC,20210418-UGeorgia-1,2ebc9071-a06a-11eb-aea8-181deafaf045
20,4/18/21,1:19:23 PM,1,3,"Lee, Zack",1000073048,Right,KEN_WIL,"McAllister, Joshua",1000073631,Right,GEO_BUL,Windup,1,Bottom,0,0,2,Slider,Undefined,FoulBall,Undefined,Undefined,Undefined,0,0,,82.64593649,0.363971285,-1.705324658,2010.754997,89.75285552,9:00,5.052749415,2.251948213,5.739588511,-41.02498083,-0.063182851,-5.719143118,1.973013616,0.187223762,76.00532571,-7.288142709,-2.777144682,0.460639339,104.6147926,25.86308574,-37.88777208,2944.879385,84.65247819,50.62063097,-70.2421112,440.0635053,114.5664889,-51.54725447,5.133925171,2.594764919,-0.134833405,-2.106765671,50,5.057946559,3.756973861,-120.2408215,-0.506390793,3.799715886,23.25883258,-32.37149559,GEO_BUL,KEN_WIL,UGeorgia,D1,SEC,20210418-UGeorgia-1,37af3c1a-a06a-11eb-aea8-181deafaf045
