PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID
11,3/13/21,1:08:44 PM,1,2,"Habegger, Max",1000026996,Left,LIP_BIS,"Anderson, Ben",1000025449,Left,GEO_BUL,Undefined,1,Bottom,0,1,0,Fastball,Undefined,FoulBall,Undefined,Undefined,Undefined,0,0,,86.29584934,-2.469585295,4.692370995,2161.013774,124.3514252,10:15,5.802702766,-2.493027901,5.71852254,-22.04340004,16.17959754,-23.7253159,1.656491164,-0.090009663,78.1270548,-6.605984273,0.229742597,0.444973236,,,,,,,,,,,,14.18334834,9.450111736,2.115150309,50,5.582384684,-9.497948937,-124.9814916,-6.115190937,22.22135083,27.42007986,-17.36835929,GEO_BUL,LIP_BIS,UGeorgia,D1,SEC,20210313-UGeorgia-1,2290b90a-8427-11eb-ae82-181deafaf045
12,3/13/21,1:09:04 PM,1,3,"Habegger, Max",1000026996,Left,LIP_BIS,"Anderson, Ben",1000025449,Left,GEO_BUL,Undefined,1,Bottom,0,1,1,Fastball,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,88.17965398,-1.57398288,4.569492689,2104.466034,164.3136453,11:30,5.948611166,-2.70607485,5.678050398,-13.73820698,22.76807311,-6.403605591,3.331640894,1.02845783,79.94358422,-4.14910827,3.370782016,0.434865855,,,,,,,,,,,,4.788662894,12.67282627,2.324776753,50,5.807185288,-10.00390525,-127.8227995,-3.97829669,7.872907239,27.89240859,-11.33900799,GEO_BUL,LIP_BIS,UGeorgia,D1,SEC,20210313-UGeorgia-1,324126de-8427-11eb-ae82-181deafaf045
13,3/13/21,1:09:20 PM,1,4,"Habegger, Max",1000026996,Left,LIP_BIS,"Anderson, Ben",1000025449,Left,GEO_BUL,Undefined,1,Bottom,0,2,1,Fastball,Undefined,InPlay,Undefined,LineDrive,Out,1,0,,87.99184916,-1.616721803,4.689520363,2207.484053,138.0524394,10:30,5.818912381,-2.647950139,5.535742453,-18.58605734,18.11866568,-16.31513381,2.75367403,0.384904008,80.14006195,-5.085143199,1.646470776,0.436046188,95.0971755,16.56953306,1.35315713,1323.99169,109.9895746,27.26681214,1.508346987,288.2155059,288.0116573,1.561741584,2.940139771,10.00984509,10.10645087,2.251572791,50,5.666128463,-9.90840774,-127.5454843,-4.243414499,16.47290816,26.47352141,-15.5421591,GEO_BUL,LIP_BIS,UGeorgia,D1,SEC,20210313-UGeorgia-1,3d724789-8427-11eb-ae82-181deafaf045
14,3/13/21,1:09:59 PM,2,1,"Habegger, Max",1000026996,Left,LIP_BIS,"Tate, Cole",8899710,Right,GEO_BUL,Undefined,1,Bottom,1,0,0,Fastball,Undefined,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,89.20218074,-2.736986476,2.354252841,2245.623658,139.4267984,10:45,6.022676408,-2.622975819,5.64163712,-17.3392137,18.32889544,-15.72361537,2.020821984,-1.736202251,80.95400455,-5.981455683,-0.6026663,0.429844686,,,,,,,,,,,,9.13090701,10.6424731,2.433183591,50,5.779371273,-4.793651451,-129.4848532,-6.779601086,15.37800358,29.05870765,-14.25031007,GEO_BUL,LIP_BIS,UGeorgia,D1,SEC,20210313-UGeorgia-1,4f57a154-8427-11eb-ae82-181deafaf045
15,3/13/21,1:10:18 PM,2,2,"Habegger, Max",1000026996,Left,LIP_BIS,"Tate, Cole",8899710,Right,GEO_BUL,Undefined,1,Bottom,1,0,1,Fastball,Undefined,InPlay,Undefined,GroundBall,Out,1,0,,89.9569831,-2.72232352,5.412162511,2269.305465,135.2867328,10:30,6.132316514,-3.096713007,5.668247811,-12.67249508,22.46022041,-22.26924033,2.525113028,0.108048636,81.62353921,-5.10134031,1.246649859,0.426606411,78.31419538,-24.05723755,-20.99131188,,,,,7.141402569,6.253808946,-17.13586745,0.053744507,13.48076977,12.81111421,2.652996229,50,5.893673887,-11.5779497,-130.161746,-6.645790407,23.05627497,28.10175523,-10.26309118,GEO_BUL,LIP_BIS,UGeorgia,D1,SEC,20210313-UGeorgia-1,5e5a0dc6-8427-11eb-ae82-181deafaf045
16,3/13/21,1:11:02 PM,3,1,"Habegger, Max",1000026996,Left,LIP_BIS,"Collins, Corey",1000013088,Left,GEO_BUL,Undefined,1,Bottom,2,0,0,Fastball,Undefined,FoulBall,Undefined,Undefined,Undefined,0,0,,88.07307378,-1.475341655,4.233442185,2226.700236,117.7749054,10:00,5.848711875,-2.419892681,5.696441676,-22.06664409,14.34722533,-27.30585291,2.631102564,-0.743656498,80.20645051,-5.605803113,-0.887563994,0.434315105,71.66877651,-32.07469694,137.7154609,,,,,3.708096761,3.708096761,95.51939821,0.049449463,15.84581774,8.111939111,2.081324565,50,5.71102579,-8.554468998,-127.7685019,-4.02965181,26.12387438,26.98320032,-18.80047063,GEO_BUL,LIP_BIS,UGeorgia,D1,SEC,20210313-UGeorgia-1,73225512-8427-11eb-ae82-181deafaf045
17,3/13/21,1:11:25 PM,3,2,"Habegger, Max",1000026996,Left,LIP_BIS,"Collins, Corey",1000013088,Left,GEO_BUL,Undefined,1,Bottom,2,0,1,Curveball,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,75.30543009,0.318258997,2.431135004,2102.424776,271.5234106,3:00,6.153292323,-2.473403528,5.27619576,-50.60606084,-0.39588763,13.11079032,2.235266583,0.903586723,69.73424722,-8.987960446,4.859757138,0.509996714,,,,,,,,,,,,-6.250603665,-0.295717664,2.242184979,50,6.145710641,-5.04589098,-109.4440101,-0.932574701,-7.594632209,18.99808127,-32.53335256,GEO_BUL,LIP_BIS,UGeorgia,D1,SEC,20210313-UGeorgia-1,8507b049-8427-11eb-ae82-181deafaf045
18,3/13/21,1:11:43 PM,3,3,"Habegger, Max",1000026996,Left,LIP_BIS,"Collins, Corey",1000013088,Left,GEO_BUL,Undefined,1,Bottom,2,1,1,Fastball,Undefined,FoulBall,Undefined,Undefined,Undefined,0,0,,87.68713655,-1.724427927,3.485081567,2204.704083,131.5188002,10:30,5.935098977,-2.44929681,5.627504073,-18.30587768,18.44703869,-20.87583603,2.797322777,-0.93349933,79.8964637,-5.146941931,-0.425369223,0.436332358,75.70551776,-13.9804254,50.82904217,,,,,13.38306252,13.38306252,44.86911302,0.103114624,12.14766692,10.35018064,2.165907445,50,5.776534057,-7.056068081,-127.2980134,-4.45033311,19.89493562,26.59909658,-15.22296002,GEO_BUL,LIP_BIS,UGeorgia,D1,SEC,20210313-UGeorgia-1,8dfa5d2e-8427-11eb-ae82-181deafaf045
19,3/13/21,1:12:09 PM,3,4,"Habegger, Max",1000026996,Left,LIP_BIS,"Collins, Corey",1000013088,Left,GEO_BUL,Undefined,1,Bottom,2,1,2,Curveball,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,73.69882485,0.539996447,4.214871496,2135.267474,250.8462761,2:15,5.666302926,-2.865018517,5.529820888,-46.91539123,5.406770743,15.70823715,2.262785337,2.390606796,67.97546647,-8.12687525,7.127567888,0.520612221,,,,,,,,,,,,-7.159827703,2.725612229,2.48848202,50,5.682360805,-8.326529686,-106.9178,-0.324837511,-8.263441252,18.94122269,-29.02831133,GEO_BUL,LIP_BIS,UGeorgia,D1,SEC,20210313-UGeorgia-1,9fdfb5b9-8427-11eb-ae82-181deafaf045
20,3/13/21,1:12:26 PM,3,5,"Habegger, Max",1000026996,Left,LIP_BIS,"Collins, Corey",1000013088,Left,GEO_BUL,Undefined,1,Bottom,2,2,2,Curveball,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,72.26365421,0.337908817,1.420582649,2090.199079,318.7609924,4:45,6.28021588,-2.411496003,4.951505996,-60.01473872,-4.523927097,3.920104921,1.598331011,-0.742441014,66.63352998,-10.6672003,2.1473771,0.536144749,,,,,,,,,,,,-1.631593266,-2.46165712,2.270786767,50,6.264806276,-2.722776067,-104.9732385,-1.21099518,-1.811321307,18.61327161,-34.90686934,GEO_BUL,LIP_BIS,UGeorgia,D1,SEC,20210313-UGeorgia-1,a8d262bf-8427-11eb-ae82-181deafaf045
