PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID
11,3/23/21,5:05:46 PM,3,1,"Goldstein, Charlie",1000051331,Left,GEO_BUL,"Carballo, Alex",1000032617,Left,KEN_OWL,Stretch,1,Top,1,0,0,Undefined,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,,75.67844037,0.62912833,0.475625265,2509.998915,297.7834116,4:00,6.045633499,-0.662447239,4.586342367,-53.75134107,-2.692707359,5.019643556,2.164782368,0.208248085,69.73736185,-9.176167364,1.398703945,0.514287671,,,,,,,,,,,,-2.452461941,-1.561872979,0.60883524,50,6.062041284,-1.081953785,-109.9394075,-0.605642754,-3.00097924,19.52619848,-34.08524983,GEO_BUL,KEN_OWL,UGeorgia,D1,SEC,20210323-UGeorgia-1,8984ae88-8c1b-11eb-ae8c-181deafaf045
12,3/23/21,5:06:07 PM,3,2,"Goldstein, Charlie",1000051331,Left,GEO_BUL,"Carballo, Alex",1000032617,Left,KEN_OWL,Stretch,1,Top,1,0,1,ChangeUp,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,79.71937211,-2.765278457,1.147343986,1617.330917,134.7809664,10:30,6.01263518,-0.683360543,5.061189207,-28.37079498,16.58650847,-16.75640583,1.038632016,-0.997818943,73.78834866,-7.952717644,-1.947098989,0.482582585,,,,,,,,,,,,9.047780955,9.371594588,0.587567754,50,5.727751968,-1.759062009,-115.8279918,-6.545028723,12.39200482,19.97996623,-19.33854271,GEO_BUL,KEN_OWL,UGeorgia,D1,SEC,20210323-UGeorgia-1,93e8d2d7-8c1b-11eb-ae8c-181deafaf045
13,3/23/21,5:06:28 PM,3,3,"Goldstein, Charlie",1000051331,Left,GEO_BUL,"Carballo, Alex",1000032617,Left,KEN_OWL,Stretch,1,Top,1,1,1,Curveball,Undefined,FoulBall,Undefined,Undefined,Undefined,0,0,,76.10746814,1.475658795,0.807175968,2518.118172,328.3535653,5:00,5.974113481,-0.691813321,4.511296051,-56.02608096,-5.097066531,3.111921016,2.711199452,0.336350551,69.63890113,-8.774033004,1.380287127,0.513634461,58.82863617,-37.18937693,170.6133504,,,,,1.128111675,0.645353464,163.9817982,0.055256958,-1.362581454,-3.05741302,0.604598361,50,6.076893415,-1.662228896,-110.456482,0.936825499,-1.673433467,20.76121802,-35.92896336,GEO_BUL,KEN_OWL,UGeorgia,D1,SEC,20210323-UGeorgia-1,9cdb8160-8c1b-11eb-ae8c-181deafaf045
14,3/23/21,5:07:02 PM,3,4,"Goldstein, Charlie",1000051331,Left,GEO_BUL,"Carballo, Alex",1000032617,Left,KEN_OWL,Stretch,1,Top,1,1,2,Fastball,Undefined,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,88.18744705,-2.966706729,2.792444231,2205.300243,151.4319672,11:00,6.061982515,-0.401736167,4.908280136,-16.16473185,21.06934932,-11.49119897,1.90402102,1.283042596,80.68137623,-5.937612942,0.671596095,0.439179277,,,,,,,,,,,,6.738484778,11.77199038,0.138460508,50,5.758684315,-5.805939628,-127.8925869,-7.243830382,11.18735461,25.7869839,-12.62997668,GEO_BUL,KEN_OWL,UGeorgia,D1,SEC,20210323-UGeorgia-1,b72948c9-8c1b-11eb-ae8c-181deafaf045
15,3/23/21,5:07:57 PM,4,1,"Goldstein, Charlie",1000051331,Left,GEO_BUL,"Norman, Terence",9999925,Right,KEN_OWL,Stretch,1,Top,2,0,0,ChangeUp,Undefined,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,81.46278137,-2.540140574,1.378845376,1652.530724,136.6681059,10:30,5.990850512,-0.73770656,4.870799913,-29.8006315,13.63840146,-12.90505154,1.101800142,-0.508260444,75.21984999,-7.981094368,-0.99898938,0.474363858,,,,,,,,,,,,7.060234943,7.743844181,0.612963558,50,5.716349175,-2.39522863,-118.319374,-6.295947735,10.07036292,21.26961968,-21.12861991,GEO_BUL,KEN_OWL,UGeorgia,D1,SEC,20210323-UGeorgia-1,d28b9243-8c1b-11eb-ae8c-181deafaf045
16,3/23/21,5:08:32 PM,4,2,"Goldstein, Charlie",1000051331,Left,GEO_BUL,"Norman, Terence",9999925,Right,KEN_OWL,Stretch,1,Top,2,0,1,Fastball,Undefined,FoulBall,Undefined,Undefined,Undefined,0,0,,89.16454239,-1.750560138,1.25968576,2212.344707,140.9869409,10:45,6.0842523,-0.52602498,4.861151111,-14.18690459,22.41921395,-18.19106781,3.244480551,-0.849672538,80.98056851,-4.368866796,-2.109912679,0.435460091,,,,,,,,,,,,9.839825439,12.18511835,0.417077578,50,5.900199445,-2.153597521,-129.4541883,-4.497863261,16.61151392,28.32852404,-11.60323006,GEO_BUL,KEN_OWL,UGeorgia,D1,SEC,20210323-UGeorgia-1,ecec6aa6-8c1b-11eb-ae8c-181deafaf045
17,3/23/21,5:09:16 PM,4,3,"Goldstein, Charlie",1000051331,Left,GEO_BUL,"Norman, Terence",9999925,Right,KEN_OWL,Stretch,1,Top,2,0,2,ChangeUp,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,81.79396689,-1.728507154,-0.274405582,1668.295657,145.2252548,10:45,5.985835834,-0.899164462,4.955455527,-27.02318433,16.12829682,-11.22709028,2.100490532,-2.093984805,74.93157172,-6.697453382,-2.352364899,0.472791186,,,,,,,,,,,,5.781092754,8.900015983,0.934737948,50,5.796830172,0.957887434,-118.8428006,-4.522009597,8.261080003,22.95059002,-19.45608204,GEO_BUL,KEN_OWL,UGeorgia,D1,SEC,20210323-UGeorgia-1,06d3b2cd-8c1c-11eb-ae8c-181deafaf045
18,3/23/21,5:09:37 PM,4,4,"Goldstein, Charlie",1000051331,Left,GEO_BUL,"Norman, Terence",9999925,Right,KEN_OWL,Stretch,1,Top,2,1,2,Curveball,Undefined,InPlay,Undefined,LineDrive,Double,0,1,,74.83802058,0.509887165,0.648859682,2289.64632,76.13600717,8:30,6.124060476,-0.596514358,4.575658843,-52.73062443,-0.452719678,-1.635143489,2.214949573,-0.115479242,68.86925028,-9.114497453,0.348021856,0.520391992,102.7814686,20.38558135,-13.615808,1053.306524,107.1338025,37.19852156,-24.94586378,357.4586949,357.0924398,-13.28486418,3.819413452,1.024365557,-0.376473575,0.530913873,50,6.12906274,-1.176560419,-108.7069361,-0.792289577,1.224401021,19.25473027,-32.62403892,GEO_BUL,KEN_OWL,UGeorgia,D1,SEC,20210323-UGeorgia-1,112e4e05-8c1c-11eb-ae8c-181deafaf045
19,3/23/21,5:10:30 PM,5,1,"Goldstein, Charlie",1000051331,Left,GEO_BUL,"Hodges, Garrett",9999946,Left,KEN_OWL,Stretch,1,Top,2,0,0,Fastball,Undefined,InPlay,Undefined,GroundBall,Single,0,1,,88.41413652,-3.25823832,2.689605948,2383.370343,147.5648791,11:00,6.487497305,-0.704519922,4.952547807,-7.825054904,29.38271899,-18.69434629,2.750506508,0.280459391,80.2334582,-4.705719143,-0.77583831,0.439024101,90.38625276,10.34557563,25.52575471,2593.977336,95.78149813,7.292478373,54.09061276,149.3330451,149.3330451,31.340319,1.30991333,10.5399321,16.28681345,0.45898019,50,6.165134378,-5.323124706,-128.1389603,-7.594308796,17.45500996,27.45523487,-5.201721958,GEO_BUL,KEN_OWL,UGeorgia,D1,SEC,20210323-UGeorgia-1,34358d83-8c1c-11eb-ae8c-181deafaf045
20,3/23/21,5:11:15 PM,6,1,"Goldstein, Charlie",1000051331,Left,GEO_BUL,"McPhee, Skylar",1000057272,Right,KEN_OWL,Stretch,1,Top,2,0,0,ChangeUp,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,81.89491588,-3.800308984,2.151703016,1834.920653,137.2532193,10:30,6.085711041,-0.86690838,5.266135327,-23.73995615,18.92942365,-17.53328813,0.530117944,-0.306045656,75.21137649,-8.168134064,-1.109265033,0.470142685,,,,,,,,,,,,9.837257964,11.02881478,0.683032889,50,5.720662111,-3.882609616,-118.7753882,-8.680599625,14.06723355,22.53236456,-16.40289425,GEO_BUL,KEN_OWL,UGeorgia,D1,SEC,20210323-UGeorgia-1,4d8dd17b-8c1c-11eb-ae8c-181deafaf045
